 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.924361	0.0026130665	0.0003789515	0.00018211915	0.04677541	0.0050294125	0.02066031
n	0.871612666667	0.00667126983333	0.000656392166667	0.000292878716667	0.0912982033333	0.00771756083333	0.0217513366667
a	0.883690222222	0.0177199566111	0.00425993338889	0.00114507723889	0.0784419877778	0.00552854061111	0.00921442922223
v	0.626211707407	0.240576552204	0.058680544463	0.0069480157463	0.0436899492593	0.00497946387037	0.0189134934074
o	0.240947669136	0.345986184068	0.243124848154	0.0587402385821	0.0830466830864	0.00565148129012	0.0225023678025
r	0.096949029712	0.187391828023	0.349723616051	0.0973234128607	0.168263894362	0.01372078043	0.0866269259342
à	0.0342706032373	0.0941176626743	0.218698138684	0.0607914376202	0.452612964787	0.0267859934767	0.112722775311
s	0.0200907877458	0.137831174225	0.239904312895	0.0445161125401	0.485196654929	0.0249266311589	0.0475341251037
o	0.0143999845819	0.163193424742	0.282751437632	0.31043870418	0.194972751643	0.013295897053	0.0209478537012
t	0.0049906895273	0.0684165315807	0.170617479211	0.55451656806	0.118251450548	0.0315024190177	0.0517050299004
o	0.00183606677577	0.0379158671936	0.12142939307	0.58628385602	0.145922150183	0.0388270596726	0.0677857433001
t	0.000798672191923	0.0266275057312	0.07525449769	0.501230618673	0.205607383394	0.0612949065575	0.129186647767
s	0.000441820163974	0.175510718577	0.10535829923	0.290872539558	0.164592504465	0.0690465588525	0.194177882589
o	0.000291790821325	0.230015872859	0.111121133077	0.143516146519	0.143836544822	0.0690134429508	0.302205294196
m	0.000376853940442	0.0862533376197	0.0416636176923	0.0603674488397	0.437566181607	0.0738397476503	0.299932931399
ì	0.000369052313481	0.0321223372066	0.0154507281308	0.0273031396132	0.658575060536	0.12686418255	0.139315577133
k	0.00963713510449	0.0142298904022	0.0062247149436	0.0107214098711	0.475306686845	0.38153206085	0.102348159044
a	0.0127134690348	0.0174372301341	0.0060903549812	0.0114037432904	0.210581062282	0.52146868695	0.220305586348
i	0.0044198370116	0.015112364378	0.00502614232707	0.0101173681968	0.0779546374273	0.551959228983	0.335410528783
m	0.0017701223372	0.00539648645933	0.00198010877569	0.00369832983227	0.0281207724758	0.619712076328	0.339322176261
è	0.000842570445733	0.00208331677978	0.000928722871897	0.00152818096409	0.0116146674919	0.721547025443	0.261455492087
r	0.000802096481911	0.000919169219927	0.000378744237299	0.00057117900803	0.0053714024973	0.801320341814	0.190637264029
i	0.000756335160637	0.000780853073309	0.000260118412433	0.000316351002677	0.00242201676577	0.528963147271	0.466501421343
</S>	0.000418527080319	0.000766192036655	0.000227643706217	0.000255211001338	0.00124551228288	0.276316623636	0.720770210671
