 	mia	figlia	vuole	andare	</S>
i	0.5759465	0.415201	0.001098558	0.0043113994	0.0034426947
k	0.5006495	0.419643533333	0.054324266	0.0214354494	0.00394733803333
i	0.5623215	0.333497377778	0.072683982	0.0273427764667	0.00415430867778
a	0.347128166667	0.409079125926	0.223939554	0.0170495521556	0.00280339555926
t	0.152959055556	0.285681041975	0.459002851333	0.0770924840519	0.0252646951864
è	0.0847310851853	0.203050347325	0.477402617111	0.113123794684	0.121692498395
r	0.0457471617284	0.430711449108	0.329107239037	0.063275978228	0.131158345465
a	0.0251169605761	0.677180483036	0.221833113012	0.028459006076	0.0474107278217
m	0.0117898235254	0.472697527679	0.396295037671	0.0791989353587	0.0400189426072
u	0.00585767117513	0.277580875893	0.47294334589	0.120879978453	0.122737914202
i	0.00318487039171	0.211558891964	0.52560244863	0.123802326151	0.135851071401
t	0.0021703934639	0.0757326173213	0.56931881621	0.22594744205	0.126830457134
è	0.00144944315463	0.0293310924404	0.417232605403	0.281816480683	0.270170152378
l	0.00137031971821	0.0234967308135	0.463376535134	0.265177826894	0.246578317459
i	0.00141335157274	0.0214401569378	0.397643678378	0.405080275631	0.174422039153
n	0.00184128219091	0.0113285823126	0.214408726126	0.55331742521	0.219103346384
a	0.00191968806364	0.00545185743753	0.140995775375	0.539543141737	0.312089115461
p	0.00103363135455	0.00274740781251	0.0654504584583	0.584828047246	0.34594037182
à	0.000816312451517	0.0017332479375	0.0432207194861	0.625459349082	0.32877012394
i	0.00146234481717	0.00279501597917	0.030152473162	0.633882783027	0.33170670798
</S>	0.00219354740858	0.00377065298959	0.021264736581	0.680794391513	0.29197585399
