 	le	melanzane	vogliono	ee	girate	</S>
t	0.740368	0.25663455	0.00156813	7.31244e-05	0.000498482	0.0008577744
e	0.692923	0.29888555	0.00763255	3.47831333333e-05	0.000212027573333	0.000311980903333
s	0.394443333333	0.45960785	0.07880165	0.00264390211111	0.0364947670978	0.0280084201378
m	0.354714111111	0.40456595	0.128230316667	0.0110398207037	0.0540791223659	0.0473708733793
a	0.381670703704	0.44842265	0.0979285055557	0.0173232069012	0.0247204774553	0.0299347577931
r	0.292706234568	0.554996216667	0.0861314685186	0.0241415356337	0.0143272291518	0.027697385931
a	0.229963411523	0.585263738889	0.102747156173	0.0341097118779	0.0128828330506	0.035033161977
n	0.170330470508	0.633351912963	0.133017052058	0.026722290626	0.0097023843502	0.026876050659
g	0.160751490169	0.513575304321	0.122548350686	0.124376250209	0.0187676114501	0.0599809468863
i	0.12776126339	0.342875434774	0.126086116895	0.192369083403	0.05765883715	0.153249315629
à	0.0526860602967	0.218332544925	0.428488372298	0.102013677801	0.0588698757167	0.13960975521
n	0.0176094642656	0.0994550483083	0.700912457433	0.0381288259337	0.0854742219056	0.0584202017367
e	0.0105849597552	0.150168816103	0.687046819144	0.0265747253112	0.0942695573019	0.0313552205789
t	0.00852715558507	0.148343805368	0.663737939715	0.0706117417704	0.0670016691006	0.0417780268596
è	0.00317383376169	0.0715979351227	0.672777646572	0.0827399805901	0.0898525563669	0.0798587756199
l	0.00111602748723	0.0467755450409	0.782327882191	0.0361985268634	0.068733318789	0.0648494318733
u	0.00156747916241	0.0410107816803	0.841115294064	0.0424337089545	0.038560606263	0.0353125172911
n	0.00185393105414	0.0355305372268	0.608870764688	0.175611636318	0.111991902088	0.0661413724304
e	0.00124724168471	0.0157492924089	0.325430588229	0.388270545439	0.147349734029	0.121952457477
e	0.0011849158949	0.00931205080297	0.168222962743	0.42185984848	0.279388011343	0.120032152492
e	0.0010305522983	0.00632015026766	0.066198897581	0.249746449493	0.610240003781	0.0664640174973
v	0.000994332432767	0.00425983008922	0.0281962691937	0.152997983164	0.70175300126	0.111798639166
o	0.000979161144256	0.00315563669641	0.0249055830646	0.241537994388	0.49908000042	0.230341546389
t	0.000812206048085	0.0023035968988	0.0215765710215	0.254699998129	0.435651333473	0.28495618213
i	0.000737705016028	0.00173539696627	0.0158887670072	0.205457999376	0.411847444491	0.364332727377
m	0.000729370672009	0.00182531898876	0.0148446590024	0.175406166459	0.469302481497	0.337891909126
m	0.00089020489067	0.00193475632959	0.0107830563341	0.22093288882	0.435808860499	0.329649969709
è	0.00112245496356	0.0171890587765	0.00896626877803	0.21292659294	0.4336566535	0.32613865657
n	0.00133932832119	0.0257059862588	0.019705172926	0.0759248843133	0.7200888845	0.15723544219
e	0.00141402610706	0.0134119887529	0.0240609843087	0.0340972514378	0.632209294833	0.294806037397
</S>	0.00127699805353	0.00766468437645	0.0152496821544	0.0254769757189	0.444301147417	0.506030018698
