 	vengono	vestiti	</S>
è	0.4938325	0.119765	0.38640205
r	0.3049765	0.307218	0.38780525
k	0.199501733333	0.536135	0.264363316667
u	0.201720477778	0.605900333333	0.192379112222
t	0.190829825926	0.645984111111	0.163186044074
t	0.116490941975	0.511689037037	0.371819681358
e	0.103509413992	0.471448679012	0.425041560453
n	0.0606350913307	0.438601893004	0.500762853484
d	0.0267300504436	0.261743297668	0.711526284495
i	0.0156477068145	0.262011432556	0.722340761498
m	0.00776242893817	0.393508810852	0.598728920499
è	0.00331549931272	0.512258603617	0.4844259735
n	0.00264485610424	0.687104867872	0.310250357833
a	0.00238452836808	0.602638289291	0.394977152611
</S>	0.00137312368404	0.370575144646	0.628051576306
