 	quando	io	divento	vecchia	vendo	la	casa	vendo	la	casa	a	Trieste	vengo	e	abito	a	Martano	</S>
m	0.500479295	0.091628695	0.4046561275	0.0031340537	6.40218e-05	5.03257e-06	5.148355e-06	3.453415e-06	1.1580005e-06	1.93831e-06	8.879765e-07	5.492715e-06	1.5900365e-06	6.067435e-07	1.1065195e-07	1.1717285e-06	7.016155e-07	1.0156205e-05
ò	0.831246765	0.0322130716667	0.135419064167	0.0010706644	2.70306633333e-05	3.57327766667e-06	2.92018866667e-06	2.78064066667e-06	1.05238426667e-06	1.458993e-06	4.517882e-07	4.38357566667e-06	8.76055933333e-07	4.29681666667e-07	4.30201566667e-08	6.767812e-07	3.90928533333e-07	4.45669933333e-06
t	0.941522255	0.0121446138889	0.0459004970557	0.000397711833333	1.20465577778e-05	2.97158022222e-06	7.29576988889e-06	2.15635255556e-06	6.23063522223e-07	2.539764e-06	1.01819443333e-06	1.82571688889e-06	5.35834411111e-07	2.08864388889e-07	1.86623255556e-08	3.34164766667e-07	6.84573211111e-07	2.74830744444e-06
t	0.979631418333	0.00459097362963	0.0155803432319	0.000167311187778	7.25721925927e-06	2.87222340741e-06	8.86502996296e-06	1.92419485185e-06	4.79062174074e-07	2.890063e-06	1.21673181111e-06	8.33347962963e-07	3.93993637037e-07	1.12402072963e-07	1.01620981852e-08	1.91543658889e-07	8.2182507037e-07	1.92456744815e-06
i	0.713270139444	0.274307546877	0.0110769529573	0.000846437972593	0.00011524396642	3.29251678025e-05	6.2976283321e-05	0.000125624515617	1.54577103914e-05	2.4637506e-05	0.000109476420937	1.53086065432e-06	6.60724371235e-06	4.59414967654e-07	1.8407426224e-06	4.08601622963e-07	8.3651235679e-07	7.6232111605e-07
i	0.369395046481	0.532613182292	0.0847741843191	0.0095754493242	0.000776486988807	0.000240222589268	0.000442067427774	0.000459723505206	9.66932034638e-05	0.000268156935333	0.000425721140312	0.000119537190218	0.000233968947904	3.37617883226e-05	1.27302742075e-05	5.93056172077e-05	0.000104226877452	0.000369793420705
v	0.416666015494	0.401723060764	0.129268128106	0.0220106831081	0.00900368899627	0.00207214052976	0.00114042580926	0.00229368750174	0.00109841340115	0.000763994645111	0.00155271004677	0.000394642063406	0.00148821698263	0.000564704629441	0.00133655632474	0.000376601539069	0.00113847495915	0.00710819114023
ò	0.358299071831	0.498171353588	0.0879462093687	0.019014821036	0.0111657003321	0.00250793160992	0.00117348893642	0.00263112766725	0.00135785133372	0.000715420615037	0.00165090042559	0.000410928687802	0.00168350848754	0.000709194803147	0.00176757455218	0.00042482715969	0.00138144927972	0.00898867611341
e	0.12767519061	0.475968537863	0.369717836456	0.012222367012	0.0041129541107	0.00103208896997	0.00093958331214	0.00112568138908	0.00051554031124	0.000436269605012	0.00075208221853	0.000202235695934	0.000599610322513	0.000244196994382	0.00058975225466	0.000154230366563	0.00053333605324	0.00317859777114
g	0.248007830203	0.245727932621	0.464081445485	0.018399489004	0.0072780680369	0.00230974332332	0.00186766443738	0.00252084079636	0.000957183103747	0.001019353535	0.00119037907284	0.00118094936531	0.000971214774171	0.000264830131461	0.00028539537822	0.000187225122188	0.000483259017747	0.00326736925705
