 	viene	fabbricato	</S>
è	0.3995225	0.2131345	0.387343
r	0.2693955	0.4050405	0.325564
k	0.175753233333	0.6404015	0.183845
e	0.0845409444443	0.817513166667	0.0979454633333
t	0.0536899148148	0.881934722222	0.0643749844444
e	0.0337318716049	0.867379907407	0.0988880281481
f	0.0220628872016	0.748268635802	0.229668676049
a	0.0104347057339	0.485570211934	0.50399522535
b	0.0065560919113	0.359746403978	0.63369740845
b	0.00723270730377	0.314192467993	0.678574469483
r	0.00965903576792	0.218754489331	0.771586156494
i	0.00841760192264	0.264036496444	0.727545718831
k	0.00512274064088	0.507685498815	0.487191572944
à	0.00279619821363	0.747938499605	0.249265190981
t	0.00305634407121	0.845922499868	0.151020996994
o	0.00305439835707	0.612561099956	0.384384265665
</S>	0.00169460967854	0.338575449978	0.659729632832
