 	non	li	aspettiamo	più	</S>
e	0.240929	0.6984	0.011256545	0.009080943	0.040333304
t	0.1522745	0.757678	0.0137293783333	0.0134239763333	0.0628943373333
u	0.0719297333333	0.826622333333	0.0162127661111	0.0148353507778	0.0704000313444
s	0.0360161677778	0.617975944444	0.099883462037	0.0712728422593	0.174851596015
m	0.0287883125926	0.379400814815	0.194880820679	0.11225924742	0.284670865338
è	0.0326156708642	0.447066271605	0.21340427356	0.10525804914	0.201655621779
n	0.0219705569547	0.585077090535	0.163177691187	0.125007683047	0.104766773926
u	0.0128628756516	0.486243230178	0.177093163729	0.265456227682	0.0583444579753
m	0.0108689818839	0.207055443393	0.192855754576	0.353370075894	0.235849785992
e	0.00964161729463	0.0910373044643	0.138021951525	0.377261025298	0.384038261997
p	0.00452460309821	0.0335810048214	0.100357550508	0.411747008433	0.449790087332
l	0.00196275136607	0.0134985849405	0.0407809135027	0.273522236144	0.670235695777
è	0.00118779478869	0.00692103498017	0.0181410578342	0.369987978715	0.603762231926
o	0.00359683959623	0.00912054832672	0.0103648926114	0.572646326238	0.404271410642
</S>	0.00617637979812	0.0135143241634	0.0078233713057	0.578612663119	0.393873205321
