 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.2116995	0.784452	0.0029353915	0.0001140122	0.00028136275	5.6253365e-05	2.7472805e-05	0.00036476675	6.9339575e-05
j	0.202234833333	0.727043333333	0.0330449815	0.0114367084	0.00271509958333	0.00430704012167	0.006348241735	0.00437767475	0.00849202890833
i	0.217035277778	0.688001777778	0.0447848905	0.0154381048	0.00347275986111	0.00582497204056	0.008457766645	0.00568586316	0.0112984946958
n	0.171339092593	0.653133259259	0.0664698601667	0.0215143369333	0.00899785662037	0.00819121601352	0.0250208082817	0.0297316259633	0.0156015832916
è	0.100048097531	0.690832419753	0.0767328533889	0.0236862023111	0.0132783188735	0.00884620183784	0.0308096454272	0.0384470953211	0.0173187347639
k	0.065314299177	0.854955806584	0.0309835077963	0.00839509277037	0.0070828956245	0.00296215297928	0.0106185718091	0.0136235314404	0.00606385268797
a	0.0709655663923	0.708241602195	0.155878825932	0.0311737662568	0.0169295878748	0.00630050685976	0.00369772993637	0.00471728348013	0.00209495832932
p	0.0562449087974	0.392399867398	0.381934608644	0.105713855419	0.0365218292916	0.0104450322866	0.00694676864546	0.00445555116004	0.00533745944311
u	0.0229323729325	0.196523622466	0.573482536215	0.13359658514	0.0419843764305	0.0104298740955	0.00801479688182	0.00510901038668	0.00792664981437
l	0.0099337509775	0.089391540822	0.702823512072	0.13387682838	0.0377453254768	0.00936812136517	0.00537352629394	0.00408770012889	0.00739949993812
i	0.00410035032583	0.0398743136073	0.746145504024	0.15002760946	0.0362070084923	0.00831786712172	0.00448034676465	0.0036669033763	0.00717994331271
z	0.00211969344194	0.0241107378691	0.726410834675	0.17326186982	0.0421930361641	0.00989531904057	0.00527586692155	0.0068694377921	0.00986307110424
z	0.00389976114731	0.0338991792897	0.494545278225	0.214386623273	0.0989324120547	0.0284767063469	0.00582586897385	0.052638179264	0.0673957570347
è	0.0048005170491	0.0688158264299	0.290937759408	0.222028207758	0.217817804018	0.031444645449	0.011299069658	0.0715735597547	0.0812822723449
i	0.00260562468303	0.0612050421433	0.212690286469	0.425341402586	0.203262901339	0.020800158483	0.0135369965527	0.0326177679182	0.027939535115
o	0.00122933189434	0.0216148517144	0.10166439549	0.613397467529	0.21345193378	0.0212948528277	0.00595344218423	0.0116787639727	0.00971498503833
s	0.000600322631447	0.00755555057147	0.0497040651633	0.657036489176	0.248759644593	0.0182725509426	0.00362036739474	0.0074980279909	0.00695321067944
p	0.000623256543816	0.00375306919049	0.0440576217211	0.521012496392	0.153548348198	0.0557044503142	0.00290768246491	0.0552800226636	0.16311290356
ì	0.000639685847939	0.00347503639683	0.0331278905737	0.250301165464	0.310739249399	0.0627930634381	0.0134598708216	0.111900007555	0.213563891187
t	0.00065845861598	0.00269695546561	0.0169007468579	0.303243388488	0.455338416466	0.0365418678127	0.0280960236072	0.0831370425183	0.0733873353957
i	0.000574009871993	0.00138996182187	0.0100214989526	0.293584529496	0.306503805489	0.303674222604	0.0225377145357	0.0306945075061	0.0310198601319
o	0.000390642957331	0.000963033940623	0.0043089629842	0.114395409832	0.227049268496	0.560810740868	0.0530173448452	0.0161598891687	0.0229048533773
à	0.00044613531911	0.00236070131354	0.00212637699473	0.0456091166107	0.192312689499	0.391215380289	0.339116448282	0.0126117097229	0.0142016394591
n	0.00108898877304	0.00357517710451	0.00288290166491	0.0244476522036	0.175369163166	0.19101959343	0.574212482761	0.0211696499076	0.0062347548197
t	0.00117901392435	0.00236116856817	0.00423815055497	0.0230546840679	0.147492554389	0.103053754477	0.378502227587	0.175504149969	0.16461470494
r	0.000458624508117	0.00082503338939	0.00299929018499	0.0166494446893	0.0573945281297	0.0358125514923	0.131026529196	0.41773404999	0.337099901647
e	0.000401166036039	0.000585555796463	0.00179697672833	0.0110346282298	0.0346630860432	0.150219927164	0.0843935630653	0.355788116663	0.361116967216
p	0.00091952767868	0.000633135265488	0.00244342890944	0.0103767060766	0.0333995286811	0.311741309055	0.158937521022	0.144991472221	0.336557655739
o	0.000996331892893	0.000513506755163	0.00237130363648	0.0078296786922	0.0218285495604	0.415110436352	0.161236540341	0.081150057407	0.308963885246
d	0.000756629630964	0.000576951918388	0.00196095187883	0.00548856956407	0.0159521898535	0.366975478784	0.122673880114	0.119357919136	0.366257295082
è	0.000607846876988	0.000689492639463	0.00186856862628	0.00427300118802	0.0139799732845	0.165153922928	0.216327293371	0.277733973045	0.319365431694
g	0.000491221625663	0.000855085213154	0.00152149420876	0.00220938172934	0.00938449109483	0.061465570976	0.493492431124	0.277885557682	0.152694443898
g	0.000398210075221	0.000675080871051	0.00133664573625	0.00159573324311	0.00548152036494	0.0259953226587	0.467164310375	0.321252085894	0.176101114633
h	0.000307963225074	0.000391523423684	0.00071110557875	0.00121049708104	0.00496119012165	0.0295044732196	0.173336736792	0.484280028631	0.305296704878
e	0.000452179741691	0.000486943807895	0.000576852192917	0.00106218802701	0.00413446037388	0.0556716244065	0.121774045597	0.362578809544	0.453263234959
</S>	0.000500174370846	0.000536034903948	0.000569052596459	0.000901102513505	0.00249235068694	0.0654274122033	0.136874022799	0.226628604772	0.566071617479
