 	vuole	vuole	mangiato	caldo	</S>
t	0.989087	0.01061977	9.324845e-05	6.775815e-06	0.0001935299
è	0.934286	0.0634604033333	0.00170433548333	8.06524833333e-06	0.000541328566667
l	0.787114666667	0.208593134444	0.00324348182778	1.82313827778e-05	0.00103065618889
i	0.663217222222	0.326719378148	0.00925215394259	7.32806942593e-05	0.00073844802963
t	0.436199240741	0.488518459383	0.0509450513142	0.00129939256475	0.0230383186432
è	0.164214140247	0.741033486461	0.0597823837714	0.00184125085492	0.0331289062144
l	0.0615440734157	0.886547162154	0.0355165279238	0.000845754284973	0.0155465254048
i	0.0256942611386	0.640440087385	0.301744209308	0.0233581954283	0.00876333846827
f	0.0109565837129	0.366921729128	0.476390403103	0.0417779651428	0.103953519489
a	0.00490361557097	0.250893976376	0.410684467701	0.190654121714	0.14286413983
m	0.00315958619032	0.118373258792	0.383365489234	0.242964340571	0.25213734661
è	0.00280127539677	0.119112619597	0.318590163078	0.117473046857	0.442022782203
n	0.00266059179892	0.173917539866	0.370141054359	0.0624870489523	0.390793594068
o	0.00221096793297	0.141576377955	0.295206951453	0.338751416317	0.222254131356
t	0.000929469644323	0.0483171706517	0.104034150484	0.444677072106	0.402042310452
r	0.000491446214774	0.0172713728839	0.037933676828	0.377130290702	0.567173436817
e	0.000271927404925	0.0063590069613	0.016078182276	0.426623763567	0.550667145606
m	0.000687167801642	0.00393110565377	0.00783773075867	0.244632654522	0.742911381869
m	0.000778773933881	0.00291858821792	0.00419006558622	0.282575618174	0.70953712729
ò	0.00189324931129	0.0150696590726	0.00298080719541	0.280574796058	0.699481709097
</S>	0.00333686465565	0.0285312295363	0.0035205085977	0.142451783029	0.822159854549
