 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.984476	0.006742769	0.000631906	0.0077360365	3.6708485e-05	0.00011486478	5.147066e-05	2.818565e-06	2.491655e-05	5.54894e-05	0.0001269597
d	0.993641666667	0.00276358166667	0.000572714666667	0.00270304983333	3.94429616667e-05	0.000116784326667	5.321372e-05	2.80451166667e-06	1.74249666667e-05	2.88693733333e-05	6.04997896667e-05
ì	0.702663555556	0.138784906556	0.00973231422222	0.142324929944	0.000104178620556	0.00425640650889	0.000845015806667	2.24373372222e-05	5.21078055556e-05	2.52822311111e-05	0.00118885001956
s	0.504111518519	0.250709302185	0.0390932047407	0.196611343315	0.000814182873519	0.00564187316963	0.00110746046889	2.91547224074e-05	0.000103240935185	0.00015240881037	0.00162614233985
o	0.41585207284	0.371580434062	0.134738034914	0.0735141077717	0.00115369829117	0.00189183507654	0.00037258597963	1.28810808025e-05	9.56304450617e-05	0.00018532973679	0.000603340001617
n	0.224609257613	0.467783144687	0.232204678305	0.0548802959239	0.00190606009706	0.0102947847122	0.00259010261654	0.00102542205693	0.00107119261502	0.000820515712263	0.00281449355554
t	0.240821419204	0.401440714896	0.224782226102	0.050188785308	0.0101612500324	0.0156845749041	0.00766902753885	0.00588602401898	0.00432461087167	0.0175993785708	0.0214420578518
a	0.195129906401	0.330089904965	0.368557408701	0.0189882317693	0.0125624300108	0.00794305896803	0.00702911551295	0.00659925667299	0.00501604029056	0.0230006895236	0.0250841049506
o	0.083924065467	0.185578511655	0.672539136234	0.0245446272564	0.00580570333693	0.00321476698934	0.00256900683765	0.00237976922433	0.00241576743019	0.00831856450787	0.00870996931687
n	0.0313926918223	0.071233113885	0.826137045411	0.0430646757521	0.00667394777898	0.00535324899645	0.00346531761255	0.00186235474144	0.0013156831434	0.00366589616929	0.00583578177229
a	0.0136256616074	0.0358458046283	0.876078681804	0.034710898584	0.0103659492597	0.00607371633215	0.00418117253752	0.00200143824715	0.00275173771447	0.0083952687231	0.0059696639241
d	0.0075536115358	0.0218458682094	0.815637560601	0.0552398061947	0.0144688497532	0.0292217054441	0.0132280041792	0.00362733941572	0.00490766590482	0.0170149229077	0.0172546479747
e	0.00587229051193	0.0245247894031	0.741444853534	0.0658275020649	0.0395658165844	0.0374748684814	0.0170107180597	0.00594658313857	0.00846204196827	0.0301443409692	0.0237258826582
r	0.00671441683731	0.0272650964677	0.680602617845	0.0959747340216	0.0634697055281	0.0358599561605	0.0163114893532	0.00731193437952	0.00896631398942	0.0328487803231	0.0246745275527
f	0.0116211722791	0.0572602654892	0.482547539282	0.102241818007	0.0915101018427	0.0581625853868	0.0276921964511	0.0131479847932	0.0132695046631	0.103458260108	0.0390881758509
ò	0.00937157109303	0.0605876284964	0.243021113094	0.351296512669	0.0794231872809	0.0476235617956	0.0232192954837	0.0119470158977	0.018020168221	0.123611916703	0.0318777452836
