 	sto	ancora	cucinando	</S>
s	0.9827915	0.008276145	0.004798355	0.004133835
t	0.991150833333	0.00397839933333	0.00229320166667	0.00257763433333
e	0.710185944444	0.281951554111	0.00677519055556	0.00108752094444
a	0.295657014815	0.49647085137	0.204861896852	0.00301022714815
n	0.112828711605	0.300316417123	0.499596965617	0.0872575090494
k	0.042672490535	0.115794399041	0.435296655206	0.40623583635
ò	0.0346905435117	0.12318225968	0.331727218402	0.510399612117
r	0.0401045145039	0.267503753227	0.437735072801	0.254656544039
a	0.0240352285013	0.307139584409	0.575439024267	0.0933859546797
m	0.0101906331671	0.179087228136	0.604103341422	0.206618418227
a	0.00543223952237	0.077704842712	0.554302780474	0.362559806076
r	0.00197889197412	0.042594370904	0.540079593491	0.415347268692
è	0.00122600099137	0.021538146968	0.61863019783	0.358606089564
o	0.00171646033046	0.016275215656	0.753873065943	0.228135363188
n	0.00235478677682	0.009852438552	0.587473355314	0.400319121063
t	0.00175205392561	0.004509216184	0.574164785105	0.419573807021
a	0.000678130775203	0.00248198139467	0.622976595035	0.373863369007
</S>	0.000374637087601	0.00165654969734	0.491771797517	0.506197184504
