 	l	ha	scritta	</S>
t	0.9130305	0.00417684	0.0609689	0.0218238
o	0.728118166667	0.225686516667	0.0325927833333	0.013602446
è	0.352144490556	0.433896172222	0.208409744444	0.005549398
g	0.117767030185	0.303066590741	0.574498914815	0.00466730933333
r	0.0398701550617	0.131885496914	0.794354971605	0.0338891764444
a	0.124706431687	0.239945932305	0.580434823868	0.0549127588148
t	0.156635843896	0.334100977435	0.295827441289	0.213435852938
s	0.0915366479653	0.184136992478	0.195502447096	0.528823950979
e	0.0668748959884	0.0813737641593	0.113569349032	0.73818198366
</S>	0.0351944679942	0.0601970320797	0.106172024516	0.79843649183
