 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.314632	0.660763	0.023901245	6.639515e-05	5.5342125e-05	8.1138565e-05	0.0003909581	0.00011014655
m	0.251112333333	0.501264666667	0.196627481667	0.0173285073833	0.015461511375	0.00592014218833	0.00500353636667	0.00728177921667
a	0.245364777778	0.445805888889	0.240956753889	0.0230978744611	0.0205822668917	0.00816204072944	0.00635949078889	0.00967096880556
r	0.239617592593	0.539085962963	0.137710177963	0.0379496301537	0.0107364853972	0.0100612069098	0.0062775755963	0.0185615320019
a	0.205361197531	0.559118987654	0.136135392654	0.0447546600512	0.0077863451324	0.0157287356366	0.00845259519877	0.0226619640006
n	0.198331065844	0.601024995885	0.138279797551	0.0230230033504	0.00338594504413	0.0134279452122	0.00600901506626	0.0165178746669
g	0.171955355281	0.456712998628	0.177907599184	0.10067943445	0.011704628348	0.0307811150707	0.0142824183554	0.0359762915556
i	0.143428018427	0.295450666209	0.189134866395	0.167022144817	0.0200614094493	0.0723120716902	0.0431756061185	0.0694152971852
à	0.0714627554757	0.240498888736	0.385439288798	0.112854014939	0.0237015698164	0.0627277135634	0.0420866820395	0.0612290457284
n	0.0240684258252	0.146331762912	0.646883762933	0.057335838313	0.0629093566055	0.0212527131878	0.0162090140132	0.0250089985761
e	0.0180121999417	0.146968387637	0.690788920978	0.0380244461043	0.0660678488685	0.0205002567293	0.00899532133773	0.010642476192
è	0.0158582553139	0.123809639212	0.783921973659	0.0229285553681	0.0238021962895	0.0200037518431	0.00508272077924	0.004592944564
n	0.0059522137713	0.0640985230707	0.810110324553	0.038204158456	0.0595429154298	0.0105963502144	0.00939277725975	0.002103070688
e	0.00336521459043	0.0508462410236	0.598332108184	0.164074252819	0.0984156384766	0.0573237834048	0.0182801257533	0.00936290022933
s	0.00196080553014	0.0259468170079	0.312705436061	0.49038175094	0.0645274461589	0.0736439278016	0.0163299252511	0.0145040067431
e	0.000883912176713	0.00983156233597	0.119143645354	0.72482791698	0.0600357153863	0.0495591759339	0.0122918250837	0.0234263422477
g	0.000577398392238	0.00435729744532	0.0521247717847	0.783853638993	0.0717205051288	0.0442003253113	0.0122470416946	0.0309190474159
i	0.000455449130746	0.00219780581511	0.0221696472616	0.755543546331	0.115417435043	0.0505174417704	0.0115261805649	0.042172382472
r	0.000369780710249	0.0014048552717	0.0125948324205	0.687920515444	0.162216145014	0.0585956805901	0.0166202601883	0.060277660824
è	0.00020753100675	0.0008890384239	0.00653563414017	0.470011838481	0.416550381671	0.0332455868634	0.0216401200628	0.050919553608
t	0.00011422877225	0.000700782807967	0.00400398471339	0.167300779494	0.74454379389	0.0266387556211	0.0288059066876	0.027891544536
s	9.360599075e-05	0.000539031269322	0.00313340490446	0.0631351731647	0.604548931297	0.0269767785404	0.154237502229	0.147335541512
i	0.000148572063583	0.000422120756441	0.00303648830149	0.0356915043882	0.270815943766	0.254098319513	0.20310146741	0.232685847171
d	0.000197746687861	0.000443526252147	0.00249245543383	0.0709032014627	0.263518614589	0.380578106504	0.103607889137	0.178258949057
ò	0.000112358059287	0.000299189084049	0.00116539147794	0.0691722704876	0.552879204863	0.182689118835	0.067843696379	0.125839316352
p	7.82078497623e-05	0.000409304028016	0.000956254159313	0.0292322601625	0.667875401621	0.139375789612	0.0965088654597	0.065564138784
u	0.000114020616587	0.000465657009339	0.000844149719771	0.0154769500542	0.411662363874	0.392743929871	0.136474288487	0.0422185795947
e	0.000131331872196	0.00044779766978	0.000603886573257	0.0065561733514	0.144249317958	0.609239309957	0.177665429496	0.0611066931982
m	0.000362216624065	0.000683348889927	0.000644474524419	0.0142207177838	0.0619901726527	0.566631103319	0.220173809832	0.135293897733
a	0.000460320541355	0.000679058296642	0.00055581250814	0.0170844259279	0.0311446208842	0.454249367773	0.238428269944	0.257397965911
r	0.000309745180452	0.000550921432214	0.000449801836047	0.010682861976	0.0133095002947	0.313998789258	0.281014423315	0.379683988637
è	0.000200947793484	0.000468235810738	0.000428808612016	0.00725451965867	0.0194596300982	0.160234079753	0.487232807772	0.324720996212
i	0.000455640997828	0.000768687270246	0.000687120204005	0.00255704388622	0.0196377006994	0.097925843251	0.496625935924	0.381341998737
</S>	0.000800615498914	0.00116261363512	0.000974750102003	0.00140832944311	0.0103121363497	0.110889921626	0.331796967962	0.542654499368
