 	vado	vestito	</S>
i	0.7935055	0.10448315	0.10201145
p	0.6976655	0.201945816667	0.100389116667
à	0.5612495	0.308438605556	0.130312372222
o	0.459306833333	0.432995535185	0.107697924074
n	0.261716277778	0.474391845062	0.263892108025
d	0.144316359259	0.295010615021	0.560673036008
i	0.077687819753	0.206401205007	0.715910678669
m	0.0364706065843	0.409999068336	0.55352989289
è	0.0164093355281	0.530692356112	0.452897964297
n	0.0068865818427	0.598305785371	0.394807488099
o	0.00346793394757	0.524112728457	0.472419329366
</S>	0.00183072197379	0.289271564228	0.708897664683
