 	voglio	un	forno	che	vende	rustici	</S>
t	0.997893	0.001624294	0.0004112735	1.762461e-05	1.321907e-05	1.319857e-05	2.71137e-05
è	0.979717	0.017696104	0.0011917575	0.000485060503333	0.000380713023333	1.58486366667e-05	0.000513147466667
l	0.923705333333	0.072640468	0.00167728916667	0.000712474834444	0.000505742041111	6.74534122222e-05	0.000691270455556
o	0.734985111111	0.260007156	0.00264946972222	0.00154206294481	0.000301590047037	0.000264206804074	0.000250749688519
è	0.391143867037	0.578855385333	0.0259656999074	0.00260041764827	0.000276733349012	0.00106269926802	9.55115995063e-05
n	0.135476715679	0.806505128444	0.0468651333025	0.00828414254942	0.000969249449671	0.00181837975601	8.15093331688e-05
a	0.051004861893	0.750936709481	0.0890052111008	0.10066488085	0.00668117648322	0.00160908158534	9.80285110563e-05
f	0.020666040631	0.46567690316	0.223691070367	0.229970293617	0.0409232254944	0.0103735188618	0.00869885957035
ù	0.008644716877	0.29993496772	0.376965023456	0.198367164539	0.0753255084981	0.0152810329539	0.0254815531901
r	0.00410381562567	0.248285655907	0.510649341152	0.14931678818	0.0564296094994	0.0085156276513	0.0226991960634
n	0.00200442754189	0.129542371969	0.611060447051	0.126705229393	0.0340892764998	0.0079887992171	0.0886095436878
o	0.00091062518063	0.052798477323	0.48496648235	0.279162376464	0.0626180588333	0.00853942973903	0.111004521229
k	0.000513918393543	0.0253055491077	0.31100082745	0.510651792155	0.0981106862778	0.00815120657968	0.046265913743
a	0.000274125197848	0.00984883636923	0.20654440915	0.590825930718	0.150761562093	0.00674082552656	0.0350044712477
p	0.000185574465949	0.00458282545641	0.102283536383	0.580228976906	0.251030854031	0.00843796517552	0.0532503570826
u	0.000182853821983	0.00279236848547	0.062660245461	0.446964658969	0.37316861801	0.0135542550585	0.100676885694
l	0.000223372273994	0.00203652616182	0.0309990251537	0.309011886323	0.529969539337	0.0217385850195	0.106021261898
ì	0.000319105424665	0.00195473872061	0.0169797850512	0.179805895441	0.631530846446	0.0278928616732	0.141516720633
r	0.000520307808222	0.0028825662402	0.0204336283504	0.15232189848	0.550792615482	0.132207253891	0.140841273544
ù	0.000488617702741	0.0025121844134	0.0183671261168	0.12767531616	0.367594205161	0.191795417964	0.291566791181
s	0.000440747334247	0.00209120380447	0.0083612887056	0.0657496553867	0.268158068387	0.308742472655	0.34645649706
t	0.000405631778082	0.00188414360149	0.00759072290187	0.0500919517956	0.272603022796	0.330934690885	0.336490065687
i	0.000203584592694	0.000834525867163	0.00580489930062	0.0251571839319	0.199391840932	0.434085430295	0.334522655229
k	0.000238595197565	0.000896840955721	0.00236554610021	0.012255284644	0.0998374469773	0.483142710098	0.40126351841
u	0.000217556265855	0.00083545798524	0.0010655050334	0.00631855488133	0.0588894289924	0.279290136699	0.653383506137
</S>	0.000144060932928	0.00054504549262	0.0007630100167	0.00424563244067	0.0322251344962	0.270156568349	0.691920753069
