 	questa	casa	la	costruirono	cinquanta	anni	fa	</S>
t	0.9966905	0.0029115505	0.00018556	5.871795e-05	1.305866e-05	6.778255e-06	1.7727135e-05	0.000116165045
ù	0.929633833333	0.0684410571667	0.000692974666667	0.000856800316667	0.000108005593333	2.5500755e-05	2.11216683333e-05	0.000220729378333
t	0.874317611111	0.119791252389	0.00346549488889	0.00192582677222	0.000140718597778	3.22573683333e-05	5.34704561111e-05	0.000273338759444
t	0.92154787037	0.0723967707963	0.00400194662963	0.00164071825741	5.30826392593e-05	3.27424727778e-05	0.000205352518704	0.000121546653148
o	0.699097290123	0.297565043599	0.00213650387654	0.000869813419137	2.23301430864e-05	3.19659209259e-05	0.000224486357901	5.27514300493e-05
s	0.318449830041	0.5628676812	0.0761998246255	0.016394592473	0.0119849636044	0.00671650400364	0.00214836797097	0.00523829692235
p	0.30544767668	0.461321893733	0.135634274875	0.0303090308243	0.0212567212015	0.0104118946679	0.00833914599032	0.0272795989741
ì	0.28055152556	0.551177964578	0.0848803249583	0.0281164102748	0.0124136914005	0.0049755118893	0.00842349299677	0.0294615339914
t	0.104812075187	0.655497654859	0.160863341653	0.0594707700916	0.00463284146683	0.0017071296631	0.00305106433226	0.0099654066638
i	0.0443574483957	0.388391784953	0.479783447218	0.0800453900305	0.00222387582228	0.000582576754367	0.00119662631075	0.00341892792127
t	0.0158861751319	0.149107394984	0.737205482406	0.0722672966768	0.0131699606074	0.00455702041812	0.00261916797025	0.00518750734042
o	0.00548357371063	0.056859378328	0.823387494135	0.0799434322256	0.0185794202025	0.00593175547271	0.00329177099008	0.00652311244681
f	0.00194593323688	0.0230046294427	0.837681164712	0.0966701107419	0.0198239400675	0.0076563004909	0.00392688866336	0.00929081414894
a	0.000766633745627	0.0107579264809	0.754671721571	0.178891036914	0.0267408466892	0.0084196938303	0.00477266955445	0.0149791047163
b	0.000385696248542	0.00671985882697	0.626151240524	0.295991678971	0.0367818488964	0.0074097916101	0.00672783651815	0.0198316015721
b	0.000992600082847	0.0100630429423	0.402525946841	0.266495559657	0.102061249632	0.0197249972034	0.0495009455061	0.148635567191
r	0.00120149902762	0.0111770476474	0.172012948947	0.137548686552	0.130588316544	0.0295282324011	0.133494315169	0.38444885573
i	0.00061920334254	0.00628148588247	0.0979056163157	0.221033395517	0.180472338848	0.0236489441337	0.127394971723	0.34264365191
k	0.00085215911418	0.00433532196082	0.0886484387719	0.502465465172	0.195779912949	0.0148578413779	0.0612542905743	0.131806150637
è	0.000897353371393	0.00605664732027	0.0615004462573	0.709556155057	0.0940583043163	0.00975706712597	0.0418916635248	0.0762818502123
t	0.000652007123798	0.00725309910676	0.0619193154191	0.744086718352	0.0664180681054	0.00734245237532	0.0557464211749	0.0565815500708
s	0.000530176041266	0.00453152736892	0.0582670051397	0.480362182784	0.0555369493685	0.0156766541251	0.308814873725	0.0762805500236
a	0.000334271347089	0.00211875012297	0.0299393683799	0.201872004261	0.258817143123	0.023229551375	0.376994424575	0.106694516675
n	0.000260671782363	0.00131148204099	0.01721440946	0.114265868087	0.611613381041	0.0328108504583	0.146774908192	0.075748572225
o	0.000147579994121	0.000726615346997	0.00756108982	0.0495352226957	0.776191127014	0.0318807934861	0.0594491027307	0.0745085907417
p	9.54422313737e-05	0.000528750115666	0.00378726660667	0.0236782275652	0.788138042338	0.0398819078287	0.0447192342436	0.0991711969139
e	8.01436437912e-05	0.000455536038555	0.00232915886889	0.0123065758551	0.782987347446	0.0457510026096	0.0415536447479	0.114536398971
t	7.64731145971e-05	0.000335805679518	0.0014002599563	0.00593490528503	0.794333115815	0.0493231675365	0.0337085815826	0.114887299657
t	0.000117070538199	0.000289170893173	0.0019321936521	0.00330564842834	0.538886671938	0.0541938225122	0.0595550271942	0.341720266552
ì	0.000347088846066	0.00324199596439	0.0025838345507	0.00974906280945	0.243996523979	0.0523623075041	0.218951009065	0.468768088851
n	0.000661610615355	0.00680391532146	0.0035595015169	0.0203407542698	0.31177617466	0.0775593358347	0.330912003022	0.248386429617
t	0.000533087338452	0.00496055900715	0.00320139550563	0.0162329237566	0.289713051553	0.107365445278	0.373524334341	0.204468876539
a	0.000284791912817	0.00190238923572	0.00150975683521	0.00637567691887	0.162376677184	0.170122148426	0.403385111447	0.25404329218
c	0.000200278904272	0.00091493574524	0.000963537611737	0.00299128130629	0.165982559061	0.301123382809	0.291723370482	0.23610076406
h	0.000107221368091	0.000455395581747	0.000563011203912	0.00124141543543	0.17294885302	0.333647127603	0.176331390161	0.314705921353
r	6.92118893637e-05	0.000269562660582	0.000358440401304	0.00060778081181	0.132568851007	0.302712042534	0.18522239672	0.378191973784
ò	6.59242631212e-05	0.000767815020194	0.000262501133768	0.000656316603937	0.0514230670023	0.242767614178	0.413815798907	0.290240991261
n	0.000473046087707	0.00463365834006	0.00198459804459	0.00358867220131	0.0290944390008	0.176324138059	0.631075599636	0.152825763754
u	0.000605476029236	0.00534252578002	0.0025251873482	0.0042216310671	0.0240192430003	0.154069512686	0.676691533212	0.132525021251
a	0.000246827209745	0.00194032126001	0.0009966154494	0.00153582068903	0.0118192143334	0.100211037562	0.696721177737	0.186529340417
m	0.000161294269915	0.00087179008667	0.0008053801498	0.00072945856301	0.0169816747778	0.248303412521	0.581121392579	0.151025780139
p	0.000176120423305	0.000510430695557	0.000818637049933	0.000428124854337	0.0240057249259	0.307328204174	0.33229023086	0.33444259338
ì	0.000213809807768	0.00122617089852	0.000618132683311	0.000701771951446	0.0140812799753	0.135832214725	0.418927510287	0.42839886446
</S>	0.000260291903884	0.00208459044926	0.000587071341655	0.00112661097572	0.00722299748765	0.0719182273625	0.623612255143	0.29318743223
