 	entrò	da	qui	</S>
m	0.881938	0.01588115	0.008534	0.0936468
b	0.827646	0.0569149833333	0.0747995	0.0406396466667
ì	0.823815666667	0.0639521211111	0.0960465126667	0.0161858175556
k	0.936130555556	0.0251672337037	0.0330501168889	0.00565185785187
e	0.641610505185	0.330839144568	0.0235461056296	0.00400406928396
a	0.216059508395	0.506613381523	0.26682983521	0.0104973097613
p	0.0738901191317	0.332013793841	0.486317611737	0.10777876992
ò	0.0257764360439	0.20184333128	0.624218203912	0.148162423307
t	0.011664555348	0.07797364376	0.842398401304	0.0679635744357
t	0.00657674844933	0.0406646145867	0.608904633768	0.343854124812
u	0.00273386904978	0.0244098415289	0.213186711256	0.759669708271
</S>	0.00137543387489	0.0146354757644	0.113261855628	0.870727354136
