 	devo	pulire	l	albero	</S>
è	0.882319	0.05202545	0.0020283405	0.0288395	0.0347875
n	0.78277	0.06858955	0.00292893383333	0.121121966667	0.02458933
a	0.588528	0.236507483333	0.0150729212778	0.148866102222	0.0110253526667
k	0.3290493	0.497013161111	0.0274567070926	0.0985321474073	0.0479487635556
a	0.123893233333	0.63683672037	0.0936834356975	0.0835531758024	0.0620338878519
t	0.0521085154443	0.550272573457	0.127579578566	0.0951655186008	0.174873929284
à	0.0254637428148	0.280643291152	0.069192859522	0.374560172867	0.250139643095
r	0.0307416476049	0.189419197051	0.178844853174	0.476654057622	0.124340417698
o	0.025071582535	0.191789399017	0.491551617725	0.246077585874	0.045510382566
t	0.00882490617833	0.121000299672	0.612690205908	0.158392761958	0.099092167522
o	0.00315836272611	0.090843433224	0.577252735303	0.194072920653	0.134672722507
n	0.0013613499087	0.071800544408	0.427874778434	0.277048973551	0.221914574169
à	0.000631424336233	0.0353391108027	0.173343651811	0.55411165785	0.236574258056
r	0.000317554145411	0.0129709862676	0.061142352937	0.83767788595	0.087891099352
b	0.00019514814847	0.00712109875587	0.025270220979	0.86368362865	0.103729646451
u	0.000199132816157	0.00611215291862	0.0175452336597	0.558395076217	0.417748215484
r	0.000198657238719	0.00438329697287	0.0137415745532	0.282060225406	0.699616071828
o	0.000156935379573	0.00299780832429	0.00799689151773	0.184274975135	0.804573357276
</S>	0.000196380689787	0.00337650416215	0.00839625075886	0.101361837568	0.886669178638
