 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
i	0.9927135	0.00445631	0.002427424	0.000127146	2.7220335e-05	0.000100082465	7.59596e-06	7.94098e-05	6.12251e-05
s	0.962744166667	0.02459647	0.00690063133333	0.003168954	0.000329027911667	0.000763279155	0.000311697963333	0.000231386133333	0.0009544791
o	0.910855388889	0.0685995233333	0.0110911437778	0.004668738	0.00101286163722	0.001814856385	0.000435835587778	0.000267877811111	0.00125362313667
t	0.647428462963	0.272517174444	0.0214839479259	0.0314881193333	0.00712100721241	0.00799932212833	0.00397033846259	0.0012889077037	0.00670248114889
r	0.330404820988	0.406449058148	0.0814986493086	0.0487749731111	0.0458435024041	0.0226098073761	0.00986961282086	0.0033440325679	0.0512054270496
a	0.180452640329	0.508800686049	0.116268683103	0.0323960577037	0.0606013341347	0.027619535792	0.010225927607	0.0028682611893	0.0607667856832
ù	0.070894093443	0.74532489535	0.0918774943677	0.0189555425679	0.0282459419116	0.015914658264	0.00561036700233	0.00188998072977	0.0212868988611
d	0.025158094481	0.759247965117	0.149750298123	0.0358166375226	0.0101805945039	0.00645881575467	0.00192437146744	0.00429756024326	0.0071654062537
i	0.0121084681603	0.478284155039	0.419870099374	0.0508465125075	0.0227899148346	0.00855408858489	0.000793610155813	0.00424546141442	0.0025074574179
è	0.0068160667201	0.187367318346	0.735727366458	0.0326238375025	0.0262911246115	0.0082709395283	0.000377317298604	0.00161334180481	0.000912615872633
n	0.00256442724003	0.100231839449	0.722916455486	0.151638845834	0.0133895945372	0.00626178984277	0.000214440679535	0.00244607726827	0.000336704757544
g	0.00139182874668	0.183447246483	0.407694351829	0.274957281945	0.0130315315124	0.00995312994759	0.000664326226512	0.0973726957561	0.0114878466525
r	0.0155207149156	0.225266082161	0.165629117276	0.267351093982	0.0346929771708	0.0520333099825	0.00493779540884	0.198443231919	0.0361258155508
a	0.0202689716385	0.122861367387	0.113855839092	0.323730031327	0.119649959057	0.111403436661	0.0170867984696	0.137346057273	0.0337976651836
m	0.00735206454617	0.0487836957957	0.0887718130307	0.522719010442	0.151557219686	0.095407278887	0.0207260328232	0.0467165857243	0.0179663817279
m	0.00284760418206	0.0237169785986	0.0538349710102	0.519613670147	0.195619306562	0.0526333929623	0.0159576442744	0.0222879819081	0.113488393909
è	0.00141924039402	0.0202948728662	0.0470057903367	0.468980556716	0.187664835521	0.0353413976541	0.0108617960915	0.0812865273027	0.147144964636
n	0.000803336998007	0.0166661742887	0.0382914301122	0.663688852239	0.083983478507	0.0357500658847	0.0048855300305	0.0987722091009	0.057158888212
o	0.000327936532669	0.00605429909623	0.0188758000374	0.54941628408	0.237917626169	0.128514855295	0.00278924901017	0.0365890407003	0.0195147537373
p	0.000164054677556	0.00222391803208	0.00760488667913	0.368203094693	0.411222208723	0.172073785098	0.0126298720034	0.0138167745668	0.0120613755791
u	8.3308025852e-05	0.00092173737736	0.00299204489304	0.278986631564	0.535956736241	0.146924428366	0.0169721240011	0.0062498688556	0.0109132585264
s	7.7635975284e-05	0.00059167515912	0.00126465796435	0.151204477188	0.643688578747	0.157149142789	0.0217309080004	0.00447823695187	0.0198146861755
s	0.000212321658428	0.00080209205304	0.00179885298812	0.109782725729	0.507282859582	0.133089147596	0.0358947693335	0.0123260056506	0.198811095392
è	0.000283529886143	0.00106517235101	0.00277295766271	0.0635139085763	0.296863953194	0.220183482532	0.0284386297778	0.14088276855	0.245995578464
n	0.000233905962048	0.00120915745034	0.00218112088757	0.0573088361921	0.208023984398	0.449673827511	0.0154003399259	0.18146672285	0.0845020181547
a	0.000177374520683	0.000804516050113	0.00110706896252	0.0395399253974	0.224046994799	0.608908275837	0.0251740699753	0.0674056576167	0.0328357513849
p	0.000150554373561	0.000602480916704	0.00057742132084	0.0185520217991	0.226100998266	0.580388758612	0.101246656658	0.0288768358722	0.0435039171283
o	0.00014946412452	0.000551172605568	0.000403148106947	0.011194413933	0.204256666089	0.513907919537	0.182664218886	0.0170291952907	0.0698437057094
è	0.00019917437484	0.000909097835189	0.00121214570232	0.005560781311	0.13267292203	0.512644639846	0.204742406295	0.0906083150969	0.0514504419031
t	0.000453781791613	0.00210574594506	0.00188836856744	0.00693736377033	0.0611141073433	0.543536546615	0.208009135432	0.156550771699	0.0194040806344
a	0.000470955597204	0.00186506564835	0.00123043052248	0.00617324259011	0.0422334024478	0.435834848872	0.320427378477	0.1146769239	0.0770879535448
d	0.000346264199068	0.00145729221612	0.00074548917416	0.0040820821967	0.0292115674826	0.219935649624	0.539999126159	0.0679355746333	0.136287317848
i	0.000324790733023	0.00136300073871	0.000562839058053	0.00331155573223	0.0198652891609	0.115253883208	0.62012670872	0.0434769915444	0.195715105949
k	0.000527517244341	0.00204687024624	0.000478477019351	0.00302702691074	0.0139742897203	0.0654268610693	0.65152223624	0.0332843638481	0.22971236865
ò	0.000531870218114	0.00228023608208	0.00039018200645	0.00283460363691	0.0079127556401	0.0296713336898	0.47518405208	0.346140954616	0.135053892883
m	0.000247410542705	0.00212888469403	0.000478375335483	0.00236476254564	0.0032211909467	0.0173608245633	0.241338990693	0.680375318205	0.0524838676277
m	0.000151503937568	0.00212104489801	0.000478218945161	0.00226540284855	0.00170210898223	0.0128438648544	0.163896783564	0.704920439402	0.111620422543
a	0.000158509735856	0.00096801663267	0.000276443815054	0.00103867628285	0.00150926832741	0.0105877116181	0.0880814145213	0.483113546467	0.414266474181
</S>	0.000238100867928	0.000659465816335	0.000299148907527	0.000739718141425	0.00206172416371	0.014144005809	0.0897177572606	0.253892373234	0.63824773709
