 	è	che	sono	usciti	</S>
è	0.775786	0.12513075	0.03542491	0.02180535	0.041853045
n	0.488870333333	0.354236916667	0.0932317366667	0.0221647833333	0.0414963216667
a	0.228608511111	0.649930638889	0.0956107455556	0.0113566277778	0.0144938075489
g	0.107598103704	0.732214212963	0.0809470818519	0.0553839092593	0.0238570295096
u	0.0590971679013	0.714733070988	0.119873027284	0.0761821697531	0.0301146798365
ì	0.0477792226338	0.568800690329	0.295280675761	0.0716925899177	0.0164468166122
k	0.0259707208779	0.297908563443	0.589272225254	0.0775730299726	0.00927558220407
a	0.0121499002926	0.241116854481	0.497689241751	0.160986176658	0.0880577174014
n	0.00747893009753	0.207051851494	0.190197080584	0.412494725553	0.182777239134
e	0.00362987103251	0.092882750498	0.072074633528	0.437610908518	0.393801746378
</S>	0.00223470201625	0.055352225249	0.036610476764	0.313061454259	0.592740873189
