 	vestita	la	figlia	l	avevo	portata	alla	chiesa	</S>
a31	0.00024863842	0.0281289295	0.18571529	0.00744837015	0.0910728215	0.51204332	0.0405398485	0.134705602	9.72124043248e-05
a16	0.05650958524	0.0281694431667	0.109399883233	0.0418783923833	0.1915336005	0.395546746667	0.0638545785	0.112924435333	0.000183373591442
a31	0.0751829603733	0.0157103296222	0.0392616406443	0.0502312979944	0.168718841167	0.467829268889	0.0749019405	0.108014436444	0.000149294261147
a24	0.0402519074178	0.0093744761074	0.0220820898814	0.0297516565315	0.069086971389	0.49430694963	0.0771053145	0.257969456815	7.11698197157e-05
a28	0.0701290211393	0.155071494369	0.0323580846271	0.0357489245105	0.0427483421297	0.21051985321	0.0961206965	0.357106738938	0.000196860168572
a31	0.0650625167598	0.20607560979	0.031500594209	0.0301940268368	0.0470084207099	0.375571907737	0.0643365138333	0.179323487313	0.000926922189524
a41	0.0618523519666	0.108602771597	0.0229090637363	0.0308058939456	0.0613927052366	0.423845085912	0.159624891278	0.129932140104	0.00103506091984
a31	0.0614364000555	0.074926748199	0.0189899065788	0.0321023053152	0.0754557284122	0.405671478637	0.190352569759	0.126659597701	0.0144052334299
a28	0.0541278827518	0.0533482503997	0.0154436768596	0.0280209837717	0.0785440461374	0.395884520879	0.156135919253	0.199572483567	0.0189222237033
a20	0.0838263955839	0.0751723401332	0.0186123349532	0.0359806822572	0.0886847587125	0.16544526696	0.207659226418	0.318043507856	0.00657549832777
a46	0.132915349861	0.105887760044	0.0266422159844	0.0517164017524	0.114141079571	0.0993463609867	0.189119678806	0.277720455952	0.00251072884259
a11	0.151559599954	0.118261511348	0.0325251643281	0.0628534172508	0.13769031319	0.123491040329	0.157469519602	0.214183581984	0.00196585858086
a46	0.143216899985	0.121576905116	0.038865759776	0.0731858557503	0.151827974397	0.160728326776	0.141092149867	0.167280507328	0.00222562662695
a31	0.108947342995	0.099491159372	0.038255944592	0.0766079019168	0.167571954799	0.239493275592	0.101714261956	0.107584370109	0.060333820209
a17	0.100386207332	0.0811888807907	0.0303681181973	0.0653222626389	0.158980878266	0.227958389531	0.0752133743187	0.180320977703	0.0802609275363
a31	0.110939335777	0.0727731359302	0.0359961377324	0.0685353328796	0.140191346089	0.172986644177	0.0715429731062	0.253325002568	0.0737101099788
a20	0.156479828592	0.0882394076434	0.0436479409108	0.0798430442932	0.143121185363	0.149799969726	0.0560810290354	0.211117857523	0.0716697418263
a31	0.218362856197	0.0918207845478	0.0547838049703	0.0883828980977	0.132326365121	0.0905058549087	0.0442597630118	0.227395999174	0.0521616504421
a13	0.264546188732	0.0935716668493	0.0590367946568	0.0921712493659	0.12291501504	0.0687438739696	0.0348792096706	0.218618676391	0.0455173117474
a18	0.337157876244	0.131786542283	0.0614839332189	0.111747833122	0.144866018347	0.0423697979899	0.0277800342235	0.12543113113	0.0173768366491
a13	0.380935915415	0.149604664094	0.054405411073	0.116922414374	0.138263909449	0.0333736246633	0.0275128790745	0.09159892271	0.00738224081637
a31	0.344108298472	0.116146449698	0.0524865123577	0.101441210125	0.108240071816	0.0443679525544	0.0287459913582	0.135133790903	0.0693296897388
a18	0.351488326157	0.0973693448993	0.0589447094526	0.0999937620417	0.105307699272	0.0470913868515	0.0205863334527	0.127775334634	0.0914430922463
a3	0.427765385386	0.116068781633	0.0602934398175	0.117559337347	0.129139089757	0.0324836012838	0.0151927516509	0.0675204075447	0.0339771710821
a0	0.446960165129	0.108504157211	0.0663326932725	0.128133515782	0.139751266586	0.0306737080946	0.0119867640503	0.0527159075149	0.0149417665274
a20	0.485513748376	0.111481372404	0.0554599577575	0.116002291927	0.121105452195	0.0348589673649	0.0119233210168	0.0518508661716	0.0118039980091
a31	0.380294299459	0.081563547468	0.0637864092525	0.119882227309	0.134265490732	0.0649479857883	0.0176512890056	0.0732161290572	0.0643926303364
a13	0.35778766982	0.0838403158227	0.0671818464175	0.11586705777	0.120629113577	0.0700886309294	0.0203268466685	0.0853716963524	0.0789068277788
a31	0.420736553273	0.0832479139409	0.0724094821392	0.117510427923	0.0983936211923	0.0499610539765	0.0149531492228	0.0662773587841	0.0765104069263
a20	0.443904094424	0.0720170599803	0.0808796973797	0.121859551308	0.0946964990641	0.0429835233255	0.0111029944076	0.056654702928	0.0759018643088
a13	0.540790448141	0.106666013327	0.0525223997932	0.114242835769	0.082183256688	0.0289255227752	0.0107129558025	0.0340677043093	0.0298888631029
a20	0.54229548938	0.116236432776	0.0383045572644	0.111706835256	0.096131563896	0.0328280385917	0.0126700629342	0.0343414157698	0.015485602701
a31	0.39741727646	0.0818917979253	0.0614157507548	0.116755738419	0.120352687965	0.0561760828639	0.0158860593114	0.0731869162566	0.076917719567
a17	0.382284715487	0.0738018479751	0.0735482719183	0.11745504614	0.110474159322	0.0551927196213	0.0147028516705	0.0760753474189	0.0964650623557
a20	0.518043915162	0.092919519325	0.0570366406394	0.113776257047	0.099985369774	0.0330518312071	0.0098079082235	0.0388799378063	0.0364986032852
</S>	0.555932122581	0.0890553146625	0.0484852453197	0.117156281024	0.104942034887	0.0273793596036	0.00867872326175	0.0264602439032	0.0219106366426
