 	era	molto	stanco	</S>
a46	0.852828335	0.00500673841	0.0784832560236	0.0636817038893
a8	0.852583598333	0.00516268253667	0.0785736268512	0.0636800952533
a37	0.879511202778	0.00224914634556	0.0969983904604	0.0212412301966
a31	0.878568617593	0.00218753654852	0.112138051153	0.0071057727542
a0	0.918836759198	0.00282529594951	0.0759578013843	0.00238013058763
a20	0.836127906399	0.0152609104165	0.146809680461	0.00180149109878
a31	0.778552835466	0.0249750291388	0.189510333487	0.00696180346626
a39	0.575902225155	0.0302943643796	0.132811094496	0.260992331489
a41	0.329460755052	0.0300694121265	0.077522594832	0.56294724383
a31	0.383781375017	0.0904724290422	0.061571024944	0.464175171277
a28	0.311236739672	0.130634609681	0.050733322648	0.507395323759
a11	0.115255342557	0.105682179894	0.034357467216	0.744704984586
a20	0.054023270519	0.220972513298	0.0366990634053	0.688305128195
a31	0.0257087424863	0.226625440099	0.0281634025684	0.719502422732
a11	0.0228953074754	0.2178107857	0.0269227889561	0.732371114244
</S>	0.0324799927377	0.31515722285	0.037563247978	0.614799497122
