 	è	che	stanno	ancora	alzati	</S>
a20	0.00929745625	0.1495959265	0.72489887	0.063554112	0.00026997254153	0.0523836248524
a31	0.0131693680833	0.1600642655	0.69818238	0.064173664	0.000326670997177	0.0640836006175
a20	0.267293880028	0.1193599285	0.526557903333	0.051369341	0.00229981263573	0.0331190861425
a31	0.458546170009	0.1278302995	0.372530254444	0.026737472	0.00325756857858	0.0110982351447
a20	0.42538083667	0.194818803167	0.307124788148	0.0518990406667	0.0170761344595	0.00370042372427
a28	0.454605615557	0.228733254389	0.131832160383	0.0951547515556	0.0882251781532	0.00144907810362
a31	0.355543785186	0.19928735813	0.110879637794	0.137356453852	0.195011586051	0.00192121078121
a29	0.172548831062	0.130816746143	0.113918784265	0.369882561284	0.19382446035	0.0190086396604
a46	0.153446289687	0.0815321588143	0.0935515150883	0.472638063761	0.161217291783	0.0376147155535
a31	0.194841843229	0.0765676239381	0.103202200363	0.323770824587	0.252263697261	0.0493538668512
a20	0.168024251076	0.0541698423127	0.136843036788	0.291317528196	0.30112021242	0.0485251589504
a31	0.126984794692	0.0343957107709	0.118399835263	0.282299309399	0.28471632414	0.15320401465
a39	0.138771072564	0.040282550257	0.105739848088	0.239885096466	0.291565508047	0.18375592755
a20	0.168514460855	0.0485357367523	0.136312882696	0.263137348822	0.298618849349	0.08488073785
a8	0.168267036952	0.0338100772508	0.122059314232	0.280211929607	0.340777069783	0.0548745886167
a20	0.159718678984	0.0242803320836	0.091067838744	0.250873693202	0.407981829928	0.0660776562056
a24	0.103921030661	0.0126906469279	0.0594701119147	0.240505067734	0.425318886643	0.158094268735
a46	0.0778769245537	0.0085313252093	0.0486230596382	0.229132749245	0.415693078881	0.220142869578
a8	0.0747741795179	0.00678190453643	0.0383343302127	0.198742213082	0.443731926294	0.237635443193
a23	0.059076968506	0.00472486021214	0.0273326287376	0.147329339361	0.476638942098	0.284897257731
a8	0.0459425558353	0.00359575140405	0.0209593582459	0.124969174787	0.466717054033	0.33781611591
</S>	0.0418811064176	0.00288267685202	0.015621843623	0.128334457393	0.446982527016	0.364297387955
