 	l	ha	scritta	</S>
a20	0.4964154235	0.0663832405	0.41183937165	0.0253619574874
a31	0.170220600593	0.0601658597667	0.743536333883	0.0260772230625
a35	0.0959086856243	0.0995137911889	0.795168034628	0.00940949764283
a31	0.0876252535414	0.14745460373	0.761758358209	0.00316179530461
a35	0.0839597745138	0.154596041243	0.76036620607	0.00107798972177
a31	0.102402558171	0.269502870414	0.617256645357	0.0108379301592
a41	0.0735109523903	0.244981955805	0.579529625119	0.101977450053
a31	0.0299607937968	0.096439811935	0.541397108373	0.332202283351
a11	0.0237381822656	0.0496307333117	0.528821849458	0.397809247784
a18	0.0299152650885	0.0395884361039	0.626021316486	0.304474989261
a13	0.0244384376962	0.0371078010346	0.653598448829	0.284855329754
</S>	0.0181328378481	0.0354655990173	0.671608339415	0.274793234877
