 	io	non	ho	cosa	da	mangiare	</S>
a31	0.075934957	0.0113721782	0.0066944178	0.11606673	0.433459175	0.35610561	0.00036686869525
a37	0.0677586056667	0.200073515067	0.0354965301333	0.102086636667	0.30290697	0.29129269	0.000384993295083
a31	0.0582801432222	0.261982076022	0.0466069130444	0.0567265297223	0.164238168333	0.412019516667	0.000146636982278
a18	0.114178689074	0.338118729674	0.0397638190148	0.0241058645074	0.102880578011	0.380902471322	4.98901827427e-05
a31	0.408503869691	0.366821657891	0.0345112921383	0.00873278778247	0.036469170237	0.144942786207	1.84461661476e-05
a11	0.587309409897	0.23968512063	0.0766016415128	0.00643015810749	0.0194046657457	0.0705553384023	1.36141965492e-05
a37	0.360988266632	0.24554088021	0.251021817171	0.0231250123692	0.0475724085819	0.0717084258008	4.31164915164e-05
a15	0.172652602211	0.161137395403	0.347092759057	0.0419719674564	0.092753166194	0.1837818486	0.000610189539172
a39	0.134470210737	0.100399812468	0.292752966352	0.0493699724855	0.109427035398	0.3110248562	0.00255509174639
a31	0.160100020246	0.065585374156	0.187204591117	0.0422567494952	0.115726961799	0.264409763733	0.164716513115
a39	0.143045124415	0.049007475052	0.151635239372	0.0499521118317	0.159416123933	0.226290182911	0.220653716372
a20	0.0716348764717	0.040214839684	0.150990031124	0.0753729506106	0.276437094644	0.281314437637	0.104035747457
a24	0.0424717388239	0.0251161828947	0.121182858375	0.0742707002035	0.299952871548	0.360899005879	0.0761066444857
a31	0.0320864922746	0.0171656934982	0.088383620125	0.0489535714012	0.194332830516	0.305686960293	0.313390846829
a46	0.0223458807582	0.0139735786994	0.070683397375	0.0497369951337	0.206543960172	0.243658668431	0.39305753461
a31	0.0172181199194	0.0130595368998	0.0650848614583	0.0540905760446	0.225733350057	0.22786722381	0.396946330537
a3	0.0120810183065	0.0085257629666	0.0383651351528	0.0419101250149	0.225052270019	0.22448187227	0.449583790179
a31	0.0132212271022	0.0096019633222	0.0331875473843	0.044217227005	0.256686926673	0.235643967423	0.40744113006
</S>	0.0148943320511	0.0114132816611	0.0283251686922	0.0452197985025	0.245280518336	0.164568618711	0.49029829503
