 	venne	scritto	</S>
a29	0.340956535	0.323373024	0.335670409863
a24	0.386333691667	0.274486444	0.339179848954
a37	0.391150690556	0.490527291333	0.118322005751
a29	0.393057023519	0.506339853778	0.10060308235
a13	0.378976634506	0.304416646593	0.316606674117
a11	0.249321038169	0.185094457531	0.565584501372
a31	0.206516272723	0.15598357251	0.637500167124
a39	0.232046637574	0.23871018417	0.529243165708
a18	0.196762605858	0.49973556139	0.303501841903
a8	0.113447956953	0.734694600463	0.151857470634
</S>	0.0807166009765	0.801706450232	0.117576955317
