 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
a20	0.0334116506411	0.0108577112256	0.0637553337283	0.0125220611143	7.3414520441e-05	0.0777278925	0.0376931089108	0.04212222745	0.1228730465	0.0090965105	0.0107301359635	0.00573302587	0.47985604	0.0320206295784	0.011626051355	0.00037347943	0.0236003323	0.004710648955	0.00462706074435	0.0046213338	9.83467926e-05	0.0087274454365	0.000197591097925	0.000437902544259	0.0010437235497	0.00146332640011
a31	0.0354244867137	0.0129046039419	0.0708838099094	0.0136409719381	7.43155016137e-05	0.0795805335	0.0549143829703	0.0517702828167	0.1493583055	0.0236387321667	0.0130355836545	0.0147183169567	0.164358628667	0.0323428475461	0.0141518046517	0.00350995915667	0.0384135034333	0.0108361586517	0.00528220868145	0.0069517486	0.000102825184533	0.0414793151455	0.000244838579308	0.00423796188142	0.14990047685	0.0082433830667
a1	0.0168522337379	0.00890073051397	0.0320615641365	0.00583013376603	0.00137682665867	0.0449389038333	0.0728846343234	0.229678344606	0.129385905167	0.0282741807222	0.0132589682182	0.0150610022522	0.060954500089	0.011502382102	0.0072955807989	0.00460075022889	0.0366552878111	0.00985853556723	0.00241922620455	0.00494780752333	0.00160202863851	0.0466006939118	0.000643848629769	0.00523466258581	0.199651634917	0.00952959752557
a35	0.0109242000126	0.00848587783799	0.0162262925455	0.00287307340868	0.00191818896289	0.0378185526111	0.118406274774	0.420148188202	0.141555548389	0.0192916050741	0.0283727340727	0.00816906635073	0.0231725063963	0.005655702934	0.0032088917813	0.0018318393363	0.0446895202704	0.00449309820574	0.00134757174558	0.00349761249778	0.00248897411284	0.0206084776673	0.00137919914326	0.00225828155394	0.0679945428723	0.00318413270052
a31	0.0108301254375	0.0295553676127	0.0355247131818	0.0183013560696	0.000748505558763	0.0277169847037	0.138706544925	0.284470073234	0.10760669113	0.017302652858	0.0308904663576	0.0127922161169	0.0116184862988	0.00857823064467	0.0156338557271	0.00377435952877	0.0615154850901	0.0165894960686	0.0178946027152	0.0313139468326	0.00122520857461	0.0438353667224	0.00111344494842	0.0392587285846	0.0309067588908	0.00229628252217
a7	0.0118646951458	0.0419358468709	0.0401451920606	0.0266674100232	0.000322531347388	0.0145040599679	0.217717584975	0.215427221578	0.05041715671	0.0131679602193	0.0332904344525	0.0149801433723	0.0072494928796	0.0170381668816	0.020137223709	0.00452873994292	0.05999889303	0.0205404516895	0.0236147275717	0.0461126669442	0.00051719310187	0.0474531265075	0.00048129147014	0.0514777801282	0.0184155098969	0.00199448171339
a31	0.0240088493819	0.035754139957	0.0188761303535	0.0129726600511	0.000182322147796	0.00596361122263	0.231591894992	0.202294875859	0.0292734112367	0.00627384523977	0.0794225608175	0.0110224441241	0.00312614900653	0.127841812961	0.0152589550363	0.00224821538097	0.06202284401	0.0117055312298	0.0167222211906	0.0288728423147	0.000285247769623	0.0226279844358	0.00027931942838	0.0424468356427	0.0082299353323	0.000695362560459
a24	0.0263644605273	0.0264401573857	0.00972725755117	0.00493366326037	0.00135192228127	0.00454538774088	0.111272385331	0.101850897286	0.0180129530789	0.00843929497992	0.125782136939	0.0126947700414	0.00248590993551	0.164696259987	0.0216447303454	0.00570657509366	0.06911224967	0.0240198117433	0.0462422587302	0.0973912627716	0.0138747200522	0.0527426794786	0.00489234649446	0.0402516925476	0.00526180887743	0.000262421816353
a46	0.0184873785758	0.0219215598619	0.00661355095039	0.00444880675346	0.00293103522709	0.00414904211363	0.059513206777	0.066286321762	0.010745695793	0.0100912805266	0.116832822313	0.0145577780138	0.00444326964517	0.101300025662	0.0261532544485	0.0229833510312	0.05519588489	0.0348605565811	0.0829150899101	0.166782910924	0.0217198440174	0.0858386664929	0.00822972673149	0.0460091485159	0.00686097762581	0.000128847051651
a24	0.0160475779919	0.023216890454	0.00684930998346	0.00548481838449	0.0029806329757	0.00251697057121	0.046385264259	0.0377552629207	0.00666423136433	0.00828766070887	0.072489838771	0.0189137703379	0.00713997688172	0.0815812728873	0.0373223744828	0.0474125456771	0.0397139779633	0.040255512527	0.10573945197	0.211571596975	0.0149405083391	0.091189638831	0.00587026447716	0.0616008815053	0.0079796211086	9.01476105503e-05
