 	avete	cucinato	le	verdure	</S>
a31	0.514748499	0.000235850675	0.484986808162	6.286186065e-06	2.26004734045e-05
a46	0.479401865667	0.008590200375	0.511135207387	0.000846929908022	2.58177838015e-05
a20	0.722081765222	0.0153762014583	0.261384650462	0.00114546332267	1.19373009505e-05
a31	0.578075465074	0.0112321583194	0.410282676821	0.000405556144423	4.19249412017e-06
a17	0.461014271691	0.0593610432731	0.469637915607	0.00994832223167	3.84828981601e-05
a31	0.415424330564	0.127536761091	0.443481728536	0.0132651642439	0.00029202699072
a35	0.249910080188	0.231006703697	0.473092586179	0.0453874155813	0.000603226496907
a31	0.137467178396	0.343438054566	0.442084105393	0.0607100305271	0.016300628399
a46	0.115533144465	0.358807498189	0.414733561798	0.0888075121757	0.0221182717997
a38	0.103223489822	0.40555783273	0.366110433933	0.106283645392	0.0188246095999
a17	0.0422212319407	0.513589677577	0.351379231311	0.0531401237973	0.0396697555333
</S>	0.0264742764703	0.563920188789	0.321738415655	0.0338444328987	0.0540226902666
