 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a31	0.01477233045	0.002533004839	0.000140416684	0.019907295	0.102641815253	0.00058948112065	0.63561165	0.223742939	6.1030229287e-05
a8	0.0970067297833	0.0211587474463	0.001675795624	0.048054659	0.200077288418	0.00081900917355	0.378614876667	0.252530641333	6.22549767623e-05
a31	0.124337879961	0.0262579257154	0.002240197678	0.05120357509	0.167111398806	0.000648451691183	0.276236895556	0.351941562111	2.21114239541e-05
a29	0.321790796687	0.0178149148051	0.0169698600293	0.0236985117867	0.0732407189353	0.00522456886373	0.192019791185	0.349233267237	7.5216525347e-06
a11	0.515007848896	0.041886817935	0.0260948103431	0.0171752329289	0.0830648563118	0.106800852121	0.0882722130617	0.121681671612	1.56485546949e-05
a31	0.435402689632	0.0418482358783	0.013414346281	0.00893410320963	0.0960171771039	0.303885660707	0.0527548683539	0.047583617204	0.000159297506898
a17	0.287922099877	0.0151854628928	0.0110510502603	0.00404789576988	0.0575276747013	0.577469043569	0.0245078894513	0.022088128068	0.000200756214299
a21	0.113873361959	0.00699152326427	0.0211828440868	0.00366810078996	0.0254407139004	0.771632594523	0.0335078044838	0.023401514356	0.000301510126766
a24	0.0682107693197	0.00787390568809	0.0390720050289	0.00962736632999	0.0269849686335	0.716338431508	0.0828593934946	0.048107711452	0.000925421892255
a31	0.0515529854399	0.0110788662294	0.0358675536763	0.02690174911	0.0309819435445	0.588842680503	0.103533014498	0.077410640484	0.0738305674641
a18	0.0382102991466	0.0160093707431	0.0238625555588	0.02975743937	0.0249141791815	0.509899363501	0.147073291499	0.112209826828	0.098063654788
a31	0.0270989467155	0.0222909629144	0.0186415044196	0.03099610879	0.0195304467272	0.396626171167	0.179916727166	0.195009518943	0.109889573896
a8	0.0226088975718	0.0393321159715	0.0112824547065	0.0376653072633	0.0236150229091	0.278202677056	0.194017105722	0.278155286314	0.115121146432
a31	0.0211745435239	0.0724598139905	0.00894528046883	0.0773522690878	0.0291919776364	0.217757109019	0.185898588574	0.314254572105	0.0729658772773
a11	0.019523599508	0.0993888033302	0.00696865772294	0.0978310246959	0.0314273448788	0.166707763006	0.175163066191	0.342454927368	0.0605348400924
a31	0.017945534836	0.114352334443	0.00584311790765	0.093422103232	0.0297219829596	0.120594534335	0.160587462064	0.398211495789	0.0593214610308
a8	0.0142765882787	0.109675908148	0.00439337153588	0.0990542044107	0.0335350866532	0.095529131445	0.123833020688	0.453580735263	0.0661219696769
a24	0.0198059284262	0.127061262716	0.00535819827863	0.0860486181369	0.0415935755511	0.076802035815	0.161097636896	0.444007565088	0.0382252122256
a31	0.0160925919087	0.143343995905	0.00455185239288	0.099010899379	0.0358801161837	0.0604477679383	0.139259330299	0.437348411696	0.0640650537419
a37	0.0133276494029	0.126089053635	0.00381352133096	0.103028559793	0.0346722557279	0.0573541566461	0.1185217181	0.465712890565	0.0774801835806
a31	0.0123149291343	0.120392806212	0.00352265684365	0.101377533264	0.0345437879093	0.0486505175487	0.110058199367	0.485662890188	0.0834766601935
a28	0.0140368793781	0.116470477071	0.00372986758122	0.109380817755	0.0397778639698	0.0504510911829	0.093437319789	0.471935983396	0.100779691731
a31	0.0151607612594	0.12133345569	0.00390299002707	0.119782365918	0.0458747076566	0.046733387061	0.0897933999297	0.457767761132	0.099651195577
</S>	0.0103892828297	0.129921557845	0.00308245576353	0.129613292959	0.0424200913283	0.0357582035305	0.0713154199648	0.467057580566	0.110442157789
