 	se	vieni	alle	sette	sto	ancora	cucinando	</S>
a8	0.001755616535	0.003240291	0.001592788395	0.0022517533	0.255588995	0.479848485	0.23095208	0.0247700206414
a31	0.000846958135	0.00256107506667	0.00177415929833	0.0192447996333	0.205973442667	0.283898495	0.4128637	0.0728374325471
a8	0.0135943001117	0.0279593504889	0.000849598233443	0.0244229838278	0.266833911889	0.16319262	0.430285003333	0.0728622697824
a31	0.0806655710372	0.069488978163	0.00120210394515	0.0176626535593	0.28591731153	0.107157959667	0.395331021111	0.0425743965275
a46	0.278973473679	0.112459197388	0.00140009545505	0.0159283271864	0.14348232141	0.0901435612223	0.32564403837	0.0319689785275
a31	0.500950401226	0.125865029129	0.00057165633935	0.00755107789547	0.09685965447	0.0620605870741	0.19305420079	0.0130873901942
a20	0.525102937075	0.0924648713763	0.00885177306078	0.00869666913182	0.07883567549	0.0643403776914	0.214865973597	0.00684173412807
a31	0.490587825692	0.0508808651254	0.0116286588019	0.00862549084394	0.0763114911633	0.0760641112305	0.279495347866	0.00640623410602
a13	0.391234705231	0.0387096780418	0.0585876857156	0.0131365544146	0.0468442577211	0.0943141137435	0.350847449289	0.00632556054201
a17	0.18919318741	0.0385057740139	0.0986106652385	0.0276957354715	0.035626354907	0.112094583248	0.493829309763	0.004444378354
a8	0.114712744803	0.039005301338	0.0747617250795	0.0364371041572	0.0309781143023	0.124777636416	0.573593379921	0.005733992918
a31	0.170095308268	0.0465160057793	0.0447797260265	0.0324801183857	0.0572309731008	0.127950548805	0.46488822664	0.056059088106
a8	0.154061011089	0.0395504872598	0.0583437113422	0.0273548244619	0.0581653977003	0.122969389602	0.467774942213	0.071780236702
a20	0.0681677760297	0.0314474320866	0.0828705537807	0.0270813794873	0.0330558639001	0.111653336534	0.615795290738	0.029928360234
a31	0.0631363426766	0.0273079483622	0.0532599485936	0.0257203798291	0.0584454306334	0.102659548845	0.595670823579	0.0737995574113
a28	0.0618265708922	0.0298911894541	0.0672307351979	0.0288312926097	0.0664457932111	0.117039302948	0.543529001193	0.0852061224704
a31	0.0347104906307	0.027755074818	0.079261561066	0.0365225135366	0.0548392260704	0.105594142649	0.562417967064	0.0988990541568
a38	0.0254064398769	0.0354840492727	0.117775416355	0.0494521178455	0.0535948820235	0.110690055883	0.504579905688	0.103017159586
a31	0.0181260442923	0.0401615710909	0.160998356785	0.0934829659485	0.0660118940078	0.108784463961	0.430693001896	0.0817417347287
a17	0.0131793187641	0.049922745697	0.221673770262	0.120757331983	0.0753035226693	0.101066066654	0.343781033965	0.0743162396762
a3	0.010639899988	0.066010501899	0.341248010087	0.174686373994	0.0601889755564	0.104565742218	0.213267039655	0.0293934596587
a10	0.008365459396	0.063795880633	0.379364036696	0.187638741331	0.0618494538521	0.091433387406	0.191563291552	0.0159897498862
a20	0.00757822579867	0.0585294468777	0.366444058899	0.160544380444	0.0573197199507	0.104153845802	0.230389833851	0.0150404906287
a35	0.00665927646622	0.0552237289592	0.362049272966	0.161877382148	0.0522719523169	0.114451118601	0.232127274617	0.0153399918762
a37	0.00674578178874	0.0538150429864	0.342396037655	0.133492177716	0.0631849431056	0.105995980867	0.266330311539	0.0280397199587
a23	0.00625242882958	0.0488848586621	0.300983055885	0.129722740905	0.0766218743685	0.0863216049557	0.288502120513	0.0627113066529
a20	0.00638703240986	0.0469088792207	0.278920595295	0.111598506968	0.0778899481228	0.0812780849852	0.312459506838	0.0845574788843
a31	0.00884274146995	0.0373997027402	0.195111908432	0.123429268989	0.0917695173743	0.0614989121617	0.239888585613	0.242059402961
a0	0.00975997105665	0.0388370065801	0.208256599477	0.12648466833	0.0948707787914	0.0612428598872	0.191703891871	0.26884422932
a31	0.00767760011888	0.0387989841934	0.221559706492	0.176091154777	0.12150798793	0.0606826936291	0.17264208629	0.20103977144
a13	0.00641218157296	0.0375306737311	0.242445275497	0.184422906592	0.129970575977	0.0644220528764	0.157876921097	0.176919383147
a31	0.00548276642432	0.036325152577	0.252911771832	0.199434793864	0.128653898659	0.0656398209588	0.154776471366	0.156775300382
a39	0.00491075037477	0.037602533859	0.271700540611	0.211554205955	0.130476399553	0.0612837603196	0.132637098122	0.149834699627
a17	0.00394721185826	0.040499846953	0.359251233537	0.247171906652	0.0966606065177	0.0665645214399	0.126438088707	0.059466569709
</S>	0.00302322102913	0.0306661469765	0.340941981768	0.358237818326	0.0905755032588	0.05031037272	0.0860473233535	0.0401976103545
