 	viene	fabbricato	</S>
a31	0.0214552813	0.97853815	6.584209095e-06
a24	0.0110847083	0.98890865	6.640719505e-06
a31	0.00690665105	0.993091016667	2.31464047043e-06
a18	0.00808624396667	0.991911528889	2.22641981891e-06
a31	0.00908320008889	0.990914386296	2.45160492964e-06
a37	0.0375608711296	0.962399398765	3.97569727999e-05
a31	0.0547536897099	0.944307259588	0.000939073360933
a20	0.145410531237	0.850217863196	0.00437162958698
a41	0.263020553746	0.717564664399	0.019414784529
a31	0.184230411715	0.474985310133	0.340784268176
a35	0.156588244372	0.369286382044	0.474125372725
</S>	0.219991557186	0.481439691022	0.298568761362
