 	non	ho	dove	d	andare	</S>
a20	0.009461125605	0.06171235515	0.65827083	5.2554198e-05	0.25537350055	0.0151296356315
a31	0.00950786219167	0.0616917677167	0.327177454	4.66966146667e-05	0.564571713517	0.0370045062105
a37	0.0417583517206	0.0546326705722	0.146895165333	0.00157147924356	0.720405457839	0.0347368925035
a31	0.0532098600069	0.0540628191907	0.0898885054443	0.00209800039519	0.78817418928	0.0125666815345
a29	0.239843182769	0.0713233753969	0.0360087324814	0.0236033479124	0.624569806427	0.00465161247663
a41	0.456676284256	0.182625448466	0.0249718891605	0.0344378876375	0.299641438809	0.00164709354068
a31	0.499139184752	0.229321639489	0.0326769743868	0.0184770483792	0.219351772936	0.00103343729689
a18	0.378878374917	0.163209121163	0.0425783981289	0.0315473236264	0.374155974312	0.00963085986563
a31	0.180253774972	0.131309295054	0.057602644043	0.0619647945421	0.546424958104	0.0224445496219
a39	0.096198768324	0.107973813018	0.070557952681	0.130561278181	0.551371976035	0.043336193874
a31	0.036232541108	0.0521364963393	0.0538391975603	0.188387999394	0.543737582012	0.125666151291
a8	0.0179054273693	0.0416987227798	0.0493106791868	0.307276213131	0.451111667337	0.13269725843
a31	0.0111416785564	0.0360428231599	0.0452040613956	0.397556444377	0.407563429112	0.102491544143
a8	0.00744882795213	0.0286497412866	0.0299778054652	0.414040174792	0.422553656371	0.0973297740477
</S>	0.00878526547607	0.0383847476433	0.0361296227326	0.456824017396	0.396194398186	0.0636819160238
