 	essendosi	vestito	</S>
a46	0.518126265	0.17192924	0.309944498694
a31	0.310433418333	0.37888986	0.310676749365
a18	0.317790302778	0.57784401	0.104365721292
a31	0.314224610926	0.65018737	0.0355880298007
a20	0.343081346975	0.643274723333	0.0136439253669
a46	0.457025868992	0.428241897778	0.114732236222
a20	0.360558512997	0.242821102593	0.396620392074
a31	0.213429790999	0.117930446198	0.668639750691
a0	0.199529503666	0.0675509653993	0.732919516897
a46	0.372385911222	0.0902685031331	0.537345578966
a35	0.532543957074	0.182354811044	0.285101227989
a46	0.474625439025	0.228357403681	0.297017170996
a24	0.269343712008	0.143856202894	0.586800090332
a46	0.136892096336	0.0698537639647	0.793254153444
a24	0.0954252754453	0.0423436529882	0.862231107815
a31	0.0426662615818	0.0179996497961	0.939334102605
</S>	0.0244536404409	0.0106513475981	0.964895001302
