 	ora	io	sto	studiando	di	diventare	medico	</S>
à	0.727510225142	0.016015167576	0.008027175264	0.0054185807364	0.0025982544386	0.00302689604563	0.0311334540818	0.206270245498
r	0.824449322	0.147783764494	0.00168219738942	0.0004728993103	0.00228506938646	0.0231446325735	6.08068345818e-05	0.000121314064419
t	0.2033310852	0.499105394	0.05174706788	0.133450017735	0.0243432225058	0.0350660416981	0.042466777022	0.0104904111579
e	0.41367817206	0.37268964614	0.1122066921	0.0213630305211	0.0126471216324	0.0119591410838	0.00746802831195	0.0479881587916
n	0.31126578334	0.48596329434	0.1733748352	0.0248268611346	0.00159477560754	0.00274752023819	9.22716813604e-05	0.000134594477357
a	0.21724224878	0.252102079	0.203614176	0.146164239366	0.106495796258	0.00630741321709	0.0157328757654	0.0523411576363
i	0.1722386258	0.565309922	0.2157376424	0.04093864732	0.0038982152674	0.00153200205575	9.71352760747e-05	0.000247820731635
v	0.0166749039	0.714549318	0.06526090746	0.0592987136	0.06772107432	0.0639154617639	0.00842528974023	0.004154355142
ò	0.042908413412	0.348416412	0.21494689764	0.1032427924	0.07824260938	0.0949865041258	0.0947652214304	0.022491143817
s	0.011119922452	0.1660576	0.72148889	0.0852281062	0.01345427071	0.0019820141028	0.000248042361053	0.000421213796987
t	0.00932197973	0.08496414688	0.4834520676	0.211707988	0.10515430506	0.0270147836526	0.0356177249449	0.042767003309
è	0.0429588912076	0.038427638862	0.4865193146	0.163697051	0.13875842494	0.016680115144	0.00451643124952	0.10844216207
o	0.0172205129881	0.076760944	0.389973126	0.4407523132	0.0380885133	0.027486502187	0.00198617776292	0.00773188861828
s	0.00556704065313	0.0748866914608	0.09445558294	0.514697328	0.1264831732	0.135340177446	0.0322799778227	0.0162900425017
t	0.005089021118	0.01603634516	0.227333596	0.3947018584	0.0899592918	0.03814363323	0.168017563939	0.0607186387686
u	0.01862747666	0.006571756864	0.1751550916	0.5034523392	0.1559027156	0.099378313808	0.019709966096	0.0212023069442
d	0.00103416922639	0.00718862868754	0.087117831528	0.522476812	0.282788316	0.0783700383	0.0105097588314	0.010514420652
i	0.0075624387914	0.015440073566	0.04821163592	0.3455857442	0.24973347	0.08177621032	0.21600967248	0.03568071145
è	0.00146250793336	0.00314923614981	0.04996331488	0.389908436	0.376882934	0.151595869	0.014908842568	0.012128852368
o	0.000448778739894	0.0122904842562	0.026743956593	0.2164316074	0.3863742	0.2937787468	0.05409311416	0.00983909957
n	0.000419962647162	0.00823373267826	0.0087087050628	0.1147018766	0.44407185	0.324058358	0.08942553702	0.01037999157
a	0.0017660463884	0.0018626961958	0.0087573521026	0.03479944332	0.2363991422	0.2945738978	0.325885627	0.09595583316
g	0.000677833250102	0.00280377236358	0.0134371457628	0.21360363452	0.19028333	0.423750556	0.1251214048	0.03032229914
h	0.002563434964	0.00946459144	0.02624978056	0.07255431632	0.151653846	0.3156458256	0.399667282	0.02220094138
e	0.053011294308	0.0037463273566	0.062461688934	0.0585715062	0.2213400928	0.288049256	0.26235738	0.0504624822
t	0.000291614041525	0.000405791158004	0.00958748287841	0.067749523182	0.117334065	0.404560228	0.204659709	0.1954115992
t	0.00259530448	0.00850925886132	0.0164162473204	0.07249278364	0.11693704296	0.28274925223	0.430885274	0.0694148652
ò	0.009963675438	0.0021932610146	0.020796589074	0.04791939706	0.1555516572	0.230097973	0.407672012	0.1258054277
m	0.000292136487076	0.00021004213654	0.0119672378337	0.0109587162636	0.01945631016	0.2311538152	0.340829276	0.385132508
e	0.0759382774719	0.0154966185894	0.028395912286	0.0604687569	0.0990478812	0.2430763488	0.420901382	0.05667481074
s	0.00262941652555	0.0010730941633	0.117494594233	0.0184794614258	0.03972526208	0.0971464824	0.304527544	0.418924182
s	0.0081387031332	0.0043639672961	0.0128522744455	0.015523061244	0.04350067914	0.19095437246	0.646464844	0.0782021466
è	0.004889698671	0.0016208923669	0.0116898795944	0.009766501154	0.03635333186	0.110018887	0.59017083	0.2354899734
r	8.58376884093e-05	7.74836567062e-05	0.00295117721472	0.002837656549	0.005252149288	0.078321279	0.431002202	0.479472224
e	0.0133653773652	0.0062204805838	0.0079431030399	0.035295141844	0.02375312126	0.1503124576	0.649259286	0.1138510428
</S>	0.00136074052491	0.00124078105506	0.0687574204552	0.00824512608182	0.018417464516	0.0277289027	0.1765459566	0.697703622
