 	si	è	rotta	la	coppa	</S>
e	0.698920637532	0.028522691242	0.000217090803	0.007487899898	0.0200933603956	0.244758347609
g	0.41091231728	0.2694845458	0.053454241526	0.2238906678	0.0341052261752	0.00815295237128
l	0.0055755886832	0.117620148354	0.315765355046	0.331502936184	0.22600432384	0.00353169399
à	0.03404645882	0.3173286934	0.33589802318	0.10504272104	0.203698805038	0.0039852820164
s	0.086388785348	0.43468144	0.429955852	0.038399557876	0.008919924122	0.0016544204367
t	0.078125208852	0.1958292072	0.254633648	0.2191193194	0.247581590468	0.004711034852
i	0.058152323332	0.3844161634	0.292873256	0.13802608794	0.077824384812	0.048707782098
e	0.100869054812	0.19714956674	0.4492443158	0.2112403878	0.0198763186	0.0216203635
c	0.0011180193847	0.00888216594	0.62331533196	0.127727567	0.235747718617	0.00320925129088
ò	0.00445646384663	0.0050245340672	0.218488961991	0.318137391568	0.442905074416	0.0109875669032
p	0.0021024561796	0.00610226812	0.2302467118	0.1526784184	0.5223502335	0.08651991048
p	0.0015430894862	0.003993398898	0.2271696216	0.0612890244	0.700338256052	0.005666637652
a	0.0105157369913	0.0408931609776	0.227704562816	0.200480955	0.4884461254	0.031959456
</S>	0.00151446922096	0.00656914413529	0.022962873752	0.0450636822	0.2626716696	0.661218156
