 	qui	nella	casa	ha	la	luce	accesa	significa	che	ancora	stanno	svegli	non	sono	addormentati	</S>
e	0.53167492404	0.169704109004	0.006648478626	0.0153331715656	0.003147685596	0.0024670981248	0.00880801082866	0.0171394065129	0.00926325758451	0.0556969509941	0.0219316457897	0.015316986092	0.0094880042395	0.0190182776749	0.0376965745952	0.0766654237003
t	0.4975789615	0.16387671152	0.139104467282	0.000765197741	0.00076525965168	3.8158231892e-05	0.0001475692705	1.69030658671e-05	1.04071044394e-05	1.62807433344e-05	2.35786389669e-05	0.0646277996328	0.00911891799065	0.0402164843495	0.067849369786	0.0158439300981
t	0.46027282392	0.3630626648	0.06884177493	0.0282327320822	0.00270850144828	0.00725553704351	4.0235612616e-05	0.000603048202708	0.000142298518576	0.000471968009772	0.00364553261146	0.000279906478166	0.000859435582686	0.00373968981291	0.00133289743967	0.0585109514308
ù	0.5307473586	0.296967014	0.04594360515	0.0418979840474	0.0013123580912	3.0824100508e-05	7.24690629491e-05	0.000104143602755	0.000257155952761	0.00239961390196	0.0171306893634	0.0368131423664	0.0160360486488	0.00473442352696	0.000326237515905	0.00522693593494
s	0.1610649792	0.784110146	0.044715506	0.002520528956	0.00030706114	4.007619153e-05	1.15494351802e-05	1.49406501455e-06	2.53610132895e-06	2.23307810675e-06	1.74896919073e-05	4.17207057436e-05	2.87358370816e-05	0.000364682911539	0.00136650691954	0.00540474404111
t	0.065227986132	0.4998841482	0.06568156376	0.04063497822	0.0207177167554	0.0790493524392	0.00448209891533	0.018604897792	0.00329319499713	0.00246803911415	0.0016319227478	0.00129820669639	0.00310225183515	0.060578509942	0.126705016041	0.00664008782108
o	0.1794220736	0.561138996	0.0572929158	0.029869113218	0.04989239663	0.00069665799224	0.00775510480134	0.000491750184503	0.00134735009277	0.00470152946232	0.0260776733247	0.0568493507337	0.00881373085955	0.00487963715203	0.000818277299652	0.00995343575432
s	0.039268845272	0.588837758	0.317293268	0.038711385	0.006328727674	0.00481241421074	0.000372060624944	0.000179421326316	0.000304442689187	0.000218321472448	0.000483803511905	9.78142817132e-05	0.00016730014035	0.00100018959574	0.000156709822381	0.00176754483111
p	0.003361890832	0.3382982748	0.288152678	0.0712366642	0.0317603222	0.105737929716	0.0032362266836	0.0281662281659	0.00405420831561	0.00453838149902	0.00647253814849	0.000998686875962	0.00125774483808	0.00703593869457	0.0221417241599	0.0835505933786
ì	0.2627624826	0.2672539406	0.1271408036	0.05450826174	0.15578465792	0.007991644606	0.0318949217824	0.00562535208064	0.00873758898534	0.00647035805594	0.0336871180075	0.0152657181973	0.00357247519547	0.00585556801571	0.00225824027532	0.0111908551886
