 	dovevo	comprare	il	pane	</S>
ì	0.532584437809	0.0146396828194	0.017111567196	0.15048346594	0.285180823842
c	0.78834146846	0.09135107961	0.115266936102	0.00372212326046	0.0013183975554
h	0.5277743446	0.205523523332	0.231819022216	0.0242520483887	0.0106310586661
a	0.332983026	0.484648115	0.15760129976	0.0130779925966	0.0116896059195
n	0.5359376087	0.438286881487	0.0221642053912	0.000824385217606	0.00278690354683
a	0.071799163504	0.476272978	0.294158018884	0.156080603363	0.00168924957169
a	0.203874242	0.616257997	0.166296174812	0.00560715835764	0.00796441539909
f	0.1713644832	0.3518332624	0.21460779524	0.05389586718	0.208298635871
o	0.002472251882	0.0564368568	0.3443158678	0.582997098	0.01377792238
r	0.180321777342	0.28269767486	0.3878024658	0.10835432536	0.040823732632
à	0.046061846604	0.236087590188	0.194394860932	0.3699614872	0.15349417594
s	0.015618824368	0.031281355594	0.22299202354	0.421548264	0.3085595336
o	0.078985744644	0.0316723902	0.2321257484	0.497064933	0.1601511922
t	0.186504203247	0.0235413160192	0.32849745734	0.2259392241	0.2355178062
o	0.0405249872423	0.0125360957756	0.16197076188	0.717860794	0.0671073862
t	0.183096928379	0.0126036872991	0.16691092042	0.3845023838	0.2528860615
s	0.0546100198664	0.006205197364	0.08453412356	0.753623486	0.101027202
o	0.065611072354	0.01977605883	0.1940322208	0.62375763	0.09682304446
m	0.00653036225395	0.000790801028467	0.0228213293652	0.23240454452	0.737452994
ì	0.191798032039	0.037004103562	0.01653388683	0.6728390316	0.0818249624
</S>	0.00191888425685	4.401883506e-05	0.00417558298386	0.1990726408	0.794788856
