 	e	che	cucino	</S>
c	0.744533107198	0.0270698662228	0.0643260193264	0.164071023826
e	0.436793519	0.285899201	0.27178097937	0.00552629054
p	0.43665856	0.507027222	0.04078288062	0.015531350266
u	0.0635307454	0.24928603	0.6135370272	0.07364617796
m	0.1392464546	0.689213116	0.13306103132	0.03847937789
a	0.0271324918	0.22832039314	0.7253873728	0.01915977032
r	0.1051404494	0.4635620118	0.2949693808	0.13632817246
è	0.0353338772	0.331536292	0.3801497424	0.252980085074
o	0.061960933526	0.2698511948	0.620224196	0.0479636374
</S>	0.020851606298	0.0539709928	0.404467082	0.52071030406
