 	la	pasta	vuole	sale	</S>
i	0.726949705242	0.0134915500797	0.0018770862551	0.0054862713812	0.252195423685
p	0.515502876	0.1647274012	0.29603040032	0.018753011714	0.00498630110465
à	0.0697499759	0.161396894	0.1629418412	0.437314795294	0.1685965037
s	0.1855981094	0.612032354	0.1909807608	0.0092326350242	0.0021561522136
t	0.27777545	0.366302452	0.276827514	0.051552199708	0.027542387585
a	0.04154501986	0.60851101946	0.02719545356	0.316360106721	0.00638838124
ì	0.143996689132	0.3178579448	0.499314416	0.027274955134	0.01155598324
t	0.0021185846042	0.09568803888	0.863460282	0.035274247502	0.0034588275912
e	0.016788018092	0.0397637216	0.4918930572	0.4253855304	0.0261696453794
l	0.0735159839555	0.0855371375895	0.3908733152	0.3562167372	0.09385684154
e	0.09519131932	0.0282044618	0.2716526588	0.52890992	0.07604163732
à	0.0130549633576	0.0499886600698	0.264818505	0.4334215152	0.2387163678
l	0.0001953544269	0.0337225987485	0.35741804254	0.5464867431	0.06217727112
a	0.00695177552	0.00917856384	0.16706763872	0.638331	0.17847102116
</S>	0.00108811531327	0.00471495043798	0.063298494254	0.2710348802	0.659863603
