 	non	li	aspettiamo	più	</S>
e	0.665520399951	0.0442134712086	0.00897381726	0.0711945922693	0.210097715879
t	0.2745352748	0.6071668	0.0186585909964	0.0983468288239	0.00129249971931
u	0.0501719526	0.5120533936	0.310640316994	0.08918703216	0.0379472652954
s	0.04134508134	0.824208384	0.1306091644	0.00323288553924	0.000604501414999
m	0.022624722506	0.2780260472	0.5866647544	0.0688687319806	0.0438157700868
è	0.080664351	0.4804519446	0.4167643082	0.006295894652	0.01582350397
n	0.03620080582	0.3744583084	0.3726416433	0.09963135464	0.117067884592
u	0.016899356652	0.4187155372	0.28584593328	0.24468344624	0.03385573818
m	0.0434080540063	0.1515423388	0.36485762608	0.23732699282	0.202864986806
e	0.061921735424	0.3182841918	0.30089339268	0.266815484	0.05208515672
p	0.0270528620065	0.0913047674	0.0703689846	0.533218152	0.27805521166
l	0.0019051957944	0.069418635804	0.1020187498	0.76109175	0.06556562552
è	0.003837357016	0.22582374776	0.35597993212	0.364512344	0.04984659702
o	0.0180061834437	0.008553131326	0.15891369058	0.694630338	0.1198966984
</S>	0.00477824033808	0.0058486525516	0.010348423886	0.645228902	0.3337957486
