 	siete	cucinato	</S>
ì	0.778118237874	0.019868414903	0.202013342889
s	0.805216746	0.192745788954	0.00203743859101
e	0.559361436	0.318517793098	0.122120745842
s	0.70939133	0.268978522826	0.0216301465457
t	0.3941038536	0.478392565608	0.127503606755
a	0.42444164198	0.39189515194	0.183663180648
m	0.29974675624	0.4446687162	0.2555845184
a	0.09773220254	0.844415746	0.05785207224
r	0.205483789307	0.3776778112	0.41683839292
à	0.0380619388	0.880155522	0.081782553106
t	0.047916687046	0.684021972	0.268061338
a	0.2323056389	0.4714425908	0.296251798
</S>	0.0580925060745	0.0610501719	0.880857328
