 	se	aveva	visto	le	nuvole	le	nuvole	avrebbe	capito	che	stava	per	piovere	</S>
a	0.624405840828	0.029082121878	0.011982160592	0.024581307746	0.023222932542	0.0288459615634	0.0389218545117	0.00331875626605	0.00767196398061	0.0265003753125	0.0122860523885	0.0427151147658	0.0085313295439	0.117934194518
n	0.624257477584	0.1487907915	0.220635793567	0.0052046830809	0.000165885780546	0.000508001130698	1.51541997683e-05	6.722307693e-05	1.0859977293e-05	1.6991653645e-05	2.4620859132e-06	1.37573250079e-05	6.81794014353e-05	0.000242761797333
ì	0.206255293841	0.450659934	0.14612757128	0.0342438422234	0.00243026801964	0.0209165993284	0.000724627491324	0.0374289514899	0.0104085358809	0.00263395687921	0.00371372795637	0.00166493281125	0.0002554604602	0.0825362897522
c	0.152356421432	0.783269004	0.054774380872	0.00837339261832	0.00091977457688	5.0740805818e-05	2.82091511017e-05	6.0336180834e-06	4.7975495793e-06	1.65224889445e-06	7.40514076714e-07	3.93219084493e-06	4.37802345017e-06	0.000206573492889
h	0.039870131429	0.5575362764	0.05973419054	0.042546626154	0.0469398736643	0.0492699890643	0.0449534673394	0.0182183824538	0.0090579764135	0.00326628229969	0.00601359896649	0.00345720632899	0.0417429776911	0.0773930519775
e	0.1476975244	0.531267306	0.24922270306	0.02818265132	0.0090351292672	0.005523944256	0.0129397674725	0.0026719468523	0.00050522331232	0.00027552049185	8.63902904546e-05	0.000263666453528	4.56922669267e-05	0.012282553786
t	0.020148248961	0.45186027614	0.455951555058	0.029011988491	0.0098923632154	0.00128867723699	0.000430995703557	0.0269482530008	0.00183484879202	0.000547153394535	0.000216308601435	0.000911259695117	0.000371338724129	0.00058680135474
o	0.003293004595	0.1412073134	0.392349148	0.097313796	0.07042689726	0.023928909484	0.0465008465374	0.0459829445388	0.0164650427843	0.00760057398499	0.0108580503421	0.00575065507898	0.0737848604888	0.0645379577124
r	0.0584450393496	0.3359181473	0.49096394312	0.094544859734	0.0102729328678	0.0061878353144	0.00071260284432	0.000925483343082	0.00042281428751	0.00037764097434	5.85780882996e-05	0.000631910426361	2.75566837153e-05	0.000510658914411
ì	0.0008640110826	0.1852806222	0.2239051544	0.1018526298	0.1832238698	0.0441473145	0.098871486348	0.07912848174	0.0387442285299	0.0079797101044	0.00955282383447	0.00677673825997	0.00628643985183	0.0133864709282
