 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
m	0.5978080065	0.052358987464	0.0101275025094	0.00425581218437	0.00447423450774	0.0032375833123	0.0146131483516	0.131397755954	0.181726961032
ò	0.791237674	0.00967435986	0.0011979767252	0.0002352035458	0.00036728363166	0.000126010636654	0.00115231407179	0.0926420710416	0.103367082569
t	0.735175498	0.1363572072	0.01103656382	0.000693584730035	8.69946800548e-05	6.69194182945e-05	0.000787465523266	0.0142958771629	0.101499865289
t	0.699309100786	0.09141656648	0.00214998617	0.0002681589893	0.00279989428644	0.00384261366958	0.00215504678671	0.163002578736	0.0350560543913
e	0.2817868428	0.405338260107	0.154249658454	0.136844271995	0.00506911400837	0.00123772029449	0.000175942548449	0.000528829928103	0.0147693503283
è	0.15249527638	0.593807788	0.203704254	0.010933097696	0.0160968836851	0.000563569944137	0.000259198924628	0.00047168179	0.0216682509661
s	0.212858441796	0.33963734998	0.23626362898	0.0192882052702	0.00012503829616	0.000161578095706	0.00992862191993	0.0502685777869	0.131468541998
t	0.145143524096	0.4305733196	0.1293759306	0.038737764652	0.0216038421533	0.0294099120982	0.00873480624674	0.180781440876	0.015639451722
a	0.219062921724	0.15636042608	0.35661456	0.22919450745	0.0166366849803	0.00499229688381	0.000467850629966	0.00109501767148	0.0155757106705
s	0.0454221369231	0.30214574176	0.534758452	0.074450762232	0.0332306974435	0.00414107304322	0.00175686124585	0.000125791744087	0.0039684764664
e	0.02526270594	0.2998465056	0.2460034342	0.20035777626	0.019278192584	0.0579914361919	0.0779040956307	0.0374553158365	0.0359005065118
o	0.0271439148831	0.149047800445	0.3606590452	0.43142435558	0.014611416148	0.0059097707886	0.0070480440756	0.0004678456924	0.0036878034376
G	0.198900071753	0.0039567727544	0.14855822956	0.438311296452	0.00833437704	0.0008320271052	0.00166083741396	0.177226893346	0.0222194591796
i	0.1850474204	0.0975104808	0.1206535592	0.2036454838	0.0471331874	0.03507725151	0.0380356752701	0.180822893722	0.0920740531
u	0.0288964246033	0.11165881568	0.3225688728	0.469020273	0.039208547	0.012215127314	0.006331523522	0.0007058885836	0.0093944855346
v	0.182224598875	0.00982131858932	0.08620264646	0.340828915747	0.17684437716	0.0046872981	0.003207740334	0.180318410892	0.0158646930365
à	0.17996194632	0.08498687186	0.1431014914	0.197912883	0.2189559758	0.04076975394	0.0225571270885	0.0527777368981	0.058976251526
n	0.00138581052277	0.048067921504	0.17816967872	0.2061202326	0.364847457	0.02915080704	0.027722884063	0.0213730190821	0.123162215667
n	0.011407083028	0.006983209304	0.03138715732	0.08987017812	0.3840822462	0.1402495906	0.0800178601146	0.19678705262	0.05921564396
i	0.10588240401	0.0308149745918	0.038647402	0.2427669032	0.2848636788	0.1783234514	0.0249706774	0.0381640340032	0.055566498178
t	0.0153036736547	0.0407849115085	0.045512704704	0.0856372642	0.352231802	0.342694942	0.0947229966	0.00950091146	0.01361077176
i	0.0173690056314	0.100951941561	0.01926878436	0.14584217676	0.26179834364	0.163186496078	0.156865010738	0.128732795943	0.00598542654
n	0.00526617513961	0.0135549452999	0.0544774956697	0.0369928894	0.316640052	0.362141346	0.1916823468	0.01089684096	0.008347913242
A	0.0026578573212	0.0043922212246	0.0018708459	0.0197321397	0.37957686478	0.25007594078	0.108306019804	0.206302816284	0.0270852702
n	7.5364367072e-05	0.0204528959706	0.066718685042	0.051418620572	0.294398742928	0.26859066498	0.0559965488	0.0988285599	0.14351991428
n	0.0025902251192	0.003720178004	0.005642399264	0.01671870958	0.298355996	0.3247997748	0.10245299868	0.221408449012	0.024311304948
a	0.0479929186752	0.0203299850158	0.02611549864	0.066606835646	0.1363171406	0.466838992	0.1495401448	0.061337171	0.02492127996
ì	0.00634547020721	0.014146644429	0.0108223746684	0.022569887214	0.12575636996	0.352172014	0.301865069	0.1145172152	0.0518049668
s	0.119761887923	0.0357700636375	0.0386361022006	0.00881244968812	0.1344817108	0.3866179852	0.1214965911	0.1118555364	0.042567621828
t	0.017456318746	0.0200874680008	0.016120766902	0.058436441456	0.2084218344	0.2428680554	0.16356952922	0.20021394338	0.072825666148
i	0.047048724324	0.013870230446	0.024555944428	0.07117483881	0.080054082852	0.263342522	0.2183483466	0.10649704768	0.17510826778
n	0.00509223533685	0.0115488656309	0.00684596018666	0.0107922598464	0.071162608176	0.216004476	0.367430366	0.1510471908	0.160076042
e	0.0129679700803	0.115650377056	0.0026020044508	0.0011030605676	0.07485978314	0.22949348802	0.310319793	0.20676461052	0.04623892118
a	0.00525148893093	0.00892148671302	0.0203668225413	0.0253956767732	0.08448200456	0.2097372758	0.2802202232	0.2392338957	0.1263911242
n	0.00117033698714	0.00332063322659	0.00324250968719	0.00173560259388	0.06902609416	0.1506940738	0.2196563618	0.485630136	0.0655242808
k	0.010396664712	0.0375802575935	0.0083274295704	0.004844451936	0.03583107712	0.14523356654	0.2262935604	0.285541683	0.2459512834
ò	0.341965911084	0.027705005535	0.070036724918	0.050817076388	0.043919046194	0.1086263379	0.09259610372	0.22557432068	0.03875948428
r	0.00014106292204	0.00076480399888	0.00042685855186	0.0011113201426	0.01826400827	0.0858601575	0.1483808794	0.570467532	0.1745833876
a	0.024976417391	0.0053237862568	0.01098338088	0.032192114501	0.066521472544	0.0690647902	0.2350103336	0.4016789216	0.15424876424
m	0.0130918451767	0.0855424880817	0.0180718846108	0.0313976854129	0.0354477199038	0.06155208226	0.10367663928	0.3226966166	0.3285230794
a	0.0136341565554	0.00659052733306	0.0086072274476	0.0094663313888	0.013046890756	0.0317075786	0.2758140928	0.508855322	0.13227791576
