 	vengono	vestiti	</S>
è	0.612291195894	0.1846776264	0.203031160624
r	0.78602048	0.2116876243	0.0022919046011
k	0.1079827692	0.758453172	0.13356402896
u	0.716444006	0.2282910823	0.055264931914
t	0.562459254	0.3550975738	0.0824431728
t	0.22458634448	0.7233057708	0.05210787594
e	0.54186769986	0.12764513028	0.33048715452
n	0.19666406216	0.282836146	0.520499804
d	0.014296856148	0.841717114	0.14398606052
i	0.460023644	0.3319821338	0.20799422154
m	0.076296448786	0.2176798352	0.7060237
è	0.0666266724	0.79693174	0.13644157004
n	0.0415447418	0.380082746	0.578372546
a	0.31468865966	0.441555808	0.2437555162
</S>	0.0276284315526	0.0289113708	0.943460184
