 	è	che	stanno	ancora	svegli	</S>
è	0.754533891235	0.0090821852418	0.0011377994206	0.00388192983	0.0147991203638	0.216565092517
n	0.41535430412	0.4119567248	0.121886572692	0.0213582697313	0.0290696480511	0.00037444459871
a	0.364568383338	0.3689239164	0.1763177416	0.053614792638	0.0166523623186	0.0199227745789
s	0.03012347172	0.611761954	0.35262617992	0.00499086986	0.000325761480973	0.000171806576231
t	0.0897357989074	0.332011316	0.2799562952	0.261301450715	0.0227514972315	0.0142436833392
a	0.1161001238	0.538937336	0.32075637	0.015696817426	0.0001592457417	0.00835009286769
t	0.0404529137743	0.38939616	0.517677326	0.01931092034	0.0173843728334	0.015778260929
ù	0.02521383226	0.2033956484	0.408452463	0.299323128175	0.0341786276197	0.02943628152
n	0.037748624843	0.2075449672	0.519582716	0.14307981248	0.0692473408008	0.0227965281876
e	0.015421516392	0.0823577888	0.431417736	0.2917555268	0.147719577858	0.0313278446
a	0.0231849096027	0.0739436393898	0.3087322242	0.577714556	0.011860471314	0.0045641339
n	0.000649531033644	0.011601444726	0.13891007214	0.681463336	0.141845744044	0.0255298719076
k	0.0031688248542	0.00846555292	0.1104445017	0.3078106308	0.293321521106	0.27678897942
ò	0.1863490236	0.1717449178	0.2856151104	0.1845088896	0.11295684287	0.058825215026
r	0.0445147633281	0.0192383400911	0.26860924796	0.348190804	0.2367598639	0.0826869498
a	0.0178985997745	0.01723095984	0.1159702806	0.469614634	0.29134272	0.08794279062
a	0.00424594912968	0.0199272622782	0.250407612324	0.3165814573	0.379355450052	0.02948225428
t	0.00541196063801	0.00602178029411	0.0497061656299	0.2408532404	0.64554849788	0.0524583628
s	0.0598607987083	0.0292329951591	0.041476787928	0.1510266316	0.377950385	0.3404523782
ù	0.179294624228	0.02083963227	0.11387380874	0.1831852506	0.22994210424	0.27286456846
n	0.000206569999078	0.000161180735572	0.0553401126051	0.189037735272	0.456596957	0.2986574148
n	0.00519801177944	0.0055011443834	0.0042889155564	0.032651698668	0.4937828892	0.4585773358
i	0.172424232712	0.0227549357556	0.0293668336748	0.0839635538	0.37998093394	0.311509542
t	0.00173107268236	0.00122489427089	0.00485000277308	0.07992546364	0.4997470128	0.41252155
i	0.109165399155	0.0693380800857	0.028086781481	0.07134986039	0.2626339445	0.45942594178
</S>	0.000579064935234	0.00144853510549	0.00923180089646	0.045338853348	0.0491753556	0.89422637
