 	ho	rotto	una	bottiglia	</S>
è	0.679269124318	0.0126860645212	0.0006530898936	0.076893246622	0.230498484813
g	0.12873994594	0.65504378258	0.0285108483906	0.187297271947	0.000408199006525
l	0.1972322517	0.3318081838	0.037651840276	0.426491854905	0.0068158784738
a	0.16345673402	0.752955738	0.0515847896	0.0309443128703	0.0010584696632
s	0.19461310032	0.594740808	0.02637113536	0.177715437068	0.006559513952
a	0.11741861398	0.514241338	0.300877136	0.0557511813956	0.011711705478
m	0.0683325683002	0.380002858	0.4775480296	0.0655504972652	0.008566042027
i	0.153129906359	0.1064469196	0.309793631	0.39026151674	0.0403680294
a	0.0389939165647	0.2652214784	0.5050067394	0.1190420071	0.0717358474
b	0.00228156946541	0.04330087032	0.63007403272	0.24435686372	0.079986634896
u	0.0440813948476	0.15315812646	0.317834554	0.4248759552	0.06004996188
t	0.00473434259693	0.033491097846	0.411978626	0.4355035747	0.1142923778
t	0.032035628516	0.06090476464	0.44530460806	0.215722414	0.2460325756
ì	0.037908094304	0.10680520828	0.251894602	0.33634565952	0.267046440724
g	0.00155844419441	0.0128280611612	0.169077243505	0.549669331	0.266866926
l	0.0319065804431	0.006614374996	0.23361249674	0.599798856	0.12806767954
i	0.0777165849707	0.07746021054	0.16469893	0.4737801784	0.20634408458
a	0.00355501276173	0.0125153463625	0.0634064639578	0.515432982	0.405090172
</S>	0.00446837000746	0.00506479562944	0.0161877262914	0.278393967	0.695885152
