 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.671023914912	0.026085592944	0.0279244440772	0.00557588347	0.0022613341079	0.003881782188	0.00496140166987	0.00468567755572	0.013743792327	0.0202998649605	0.219556375851
m	0.34793912706	0.43904946786	0.12788791142	0.012945328678	0.0224555667952	0.0163068043135	0.000763258911756	0.000785345119429	0.000844237466951	0.0102815527568	0.0207413599298
à	0.1933191608	0.3912998888	0.071281379126	0.0157679504	0.08699944428	0.13491823914	0.0041304056932	0.0128451168032	0.0820393812128	0.00326253662887	0.00413649985
n	0.0769780886	0.517411672	0.34615338792	0.038416840868	0.0190868647454	0.0011288952214	0.000205924256488	0.0001190680822	3.92781269825e-05	3.38551691168e-06	0.000456617159623
a	0.156361706564	0.43968447358	0.1743169354	0.02764844824	0.0612188719934	0.100568634711	0.000536707986458	0.0173310146705	0.00081423191558	0.0123578697462	0.00916106782933
m	0.061570955144	0.433897334	0.423424622	0.0262390705	0.007857580195	0.0428049800192	0.00141490718148	0.00224125638055	8.5305205484e-05	0.000319249709701	0.000144756674412
u	0.15510275378	0.32142209714	0.2080158086	0.0722066693	0.11828706256	0.06224605664	0.0030194907398	0.0172298555211	0.00868211198834	0.0246839128719	0.00910424402514
c	0.0204656423836	0.1522501012	0.721274986	0.073252436	0.013533806474	0.011472487824	0.00455740313752	0.00074554442608	0.000145551095824	2.29046027441e-05	0.00227920624385
e	0.087902155649	0.106216899254	0.1339563501	0.1644627388	0.2720892701	0.1726496736	0.002245569814	0.039685233956	0.006985217722	0.00380912787836	0.0099977371544
o	0.0103380119024	0.0416331544	0.65746773	0.1652974374	0.03030840606	0.07264844774	0.0024079209352	0.0117202541231	0.00051030775524	0.000272326283849	0.007396008789
c	0.00189060230082	0.00763129094	0.488225766	0.26509467824	0.12826043996	0.09124801326	0.0036169576228	0.0087837512864	0.00336008903286	0.000103969374944	0.00178443949752
i	0.0457207368512	0.02871838286	0.08007063932	0.1611873524	0.3496321408	0.2292543658	0.008701491306	0.03091875038	0.05633266874	0.00189533379006	0.007568146908
ù	0.0103111805841	0.027169728982	0.3520558372	0.3779573346	0.1513114934	0.047790638	0.0140669454674	0.01405625895	0.0013682441264	0.0001430828212	0.0037692709973
r	0.0176791801108	0.0133452102028	0.2361108984	0.34188420476	0.270589374	0.060455081632	0.045942238944	0.010890246488	0.00095649068	0.000613017419834	0.00153407857079
i	0.02818359784	0.02530991068	0.1892548666	0.167619267	0.37299303	0.1129697764	0.02584560572	0.01988979208	0.00643423778	0.0252967963417	0.02620311442
m	0.00281252208456	0.00688243164577	0.19016559984	0.11652874666	0.2954863788	0.1666071758	0.136851115796	0.065722771914	0.016787447076	0.00136256116572	0.00079326057258
u	0.037500656162	0.009035799526	0.04883041434	0.1184367052	0.3657370442	0.1903370928	0.0468365806	0.06964694332	0.04071010186	0.0572467027064	0.0156819328
