 	qui	dentro	vuole	un	tappeto	</S>
e	0.646345179586	0.087130098228	0.0049505655394	0.001099051359	0.0098958721489	0.250579221298
t	0.57425752628	0.19271672222	0.091991270386	0.139590067666	0.00114971001805	0.000294737501065
t	0.45625150214	0.462514731	0.0458340505932	0.0189557769996	0.00386909352666	0.0125748163686
ù	0.754505498	0.1432421987	0.067790724822	0.027311867939	0.000382350939539	0.00676737800971
m	0.173967582	0.76880002	0.05406155988	0.002974249646	0.000101588296335	9.50127841594e-05
è	0.010733744468	0.43240755742	0.1629433152	0.190551205628	0.201527649063	0.0018365425636
s	0.05360476072	0.818757728	0.1175420138	0.006621661194	0.00239552904636	0.00107833115259
a	0.0333080147636	0.17153193164	0.4431093866	0.2226153508	0.0894351373407	0.0400001893078
t	0.068632495935	0.1675948758	0.714627156	0.0428542118	0.002917855237	0.00337339961
è	0.00568084266	0.03670595448	0.4973315066	0.3076090078	0.1343912147	0.0182814560696
l	0.0208985134662	0.1993981652	0.482318882	0.24350392774	0.044214191534	0.0096663149896
i	0.16831824936	0.12418012344	0.3139588048	0.307149425	0.0550117021	0.031381720488
è	0.0324340928605	0.149528009933	0.1767430258	0.5070306176	0.10236279922	0.03190142896
n	0.000556954346022	0.0327699793887	0.1074373864	0.58679028926	0.264114164	0.00833122582
a	0.00687735391928	0.009990549904	0.0579803376	0.55860322	0.335165965	0.0313825582
t	0.0955513249325	0.0449731444704	0.06824962302	0.2243694728	0.4503947947	0.1164616304
a	0.0187743097762	0.0263851691333	0.042907386	0.4556978616	0.35974469	0.0964906076
p	0.073369003292	0.0666170051733	0.02712597804	0.0986992014	0.546023248	0.1881655738
p	0.0020151835246	0.005056418592	0.017718195048	0.0549238404	0.890330052	0.02995632354
è	0.133739676034	0.12226922951	0.013852468642	0.2344104586	0.429855776	0.065872392
t	0.000926981253988	0.0035533187668	0.0019015716862	0.0379626089146	0.82022088	0.135434608
o	0.0545189799633	0.0229996398732	0.027101983526	0.0976485684	0.670412654	0.1273181604
</S>	0.00712346234105	0.079286904979	0.00943666284194	0.018946528486	0.22990061	0.655305814
