 	tutto	il	cibo	vuole	girato	</S>
ò	0.706779564206	0.0448568630765	0.006674400877	0.000923525178	0.017039512337	0.223726122273
l	0.7398345514	0.0707098224576	0.111924510497	0.0764937002144	7.56055088872e-05	0.000961777534073
o	0.129356149067	0.318837562448	0.251253621	0.21696519304	0.04351092584	0.040076547166
o	0.17434375	0.593809128	0.22037776268	0.00691203118	0.0001658301813	0.00439155021761
m	0.006926591636	0.277732464894	0.4840820298	0.2150368155	0.0031549639304	0.0130671252892
a	0.0128119355861	0.1042421366	0.360839606	0.1578214056	0.327051784	0.03723311412
r	0.08566707586	0.3911994766	0.428889216	0.06905906568	0.009482250934	0.015702942286
ì	0.017059548196	0.1744518167	0.33433896	0.1048793982	0.2516873946	0.1175828316
o	0.017618046552	0.1073978636	0.584339522	0.257273974	0.025499121108	0.00787151546
t	0.00353414621365	0.0200530739727	0.1389526396	0.787202838	0.0229271141011	0.0273302387808
è	0.0174165957	0.0177072377	0.0885955058	0.4650918234	0.38426189768	0.0269269144
l	0.0110698349726	0.04525897535	0.2364996376	0.496495486	0.15384287584	0.05683317726
i	0.0461981390033	0.0642274689	0.2802101646	0.220393722	0.3358671646	0.05310333668
v	0.0249273498749	0.0527949214026	0.08898262784	0.295528074	0.2619050412	0.2758619724
o	0.00391830703617	0.027360186292	0.13216608968	0.3759974744	0.419046311	0.04151164176
t	0.0112337651707	0.009032025027	0.04822592584	0.2965897706	0.315367604654	0.319550888
i	0.0102441438032	0.006204259406	0.078615096152	0.26186232246	0.583949924	0.05912426346
m	0.0103634873089	0.0180811843356	0.023021596406	0.127209884	0.37752834708	0.443795518
m	0.0110488746282	0.004613766446	0.02547355244	0.0404076424	0.836925328	0.08153084316
è	0.00996694654098	0.023907400562	0.06481435264	0.0371831088	0.631670524	0.232457643529
n	0.00059466125788	0.00129873688988	0.0120892849748	0.13331255402	0.30252618153	0.550178584
o	0.167967247533	0.018369905097	0.01847768966	0.0959140524	0.5664248768	0.1328462586
</S>	0.0035619365367	0.00212318610458	0.00637931441242	0.055852422446	0.14450620074	0.787576938
