 	che	non	li	aspetiamo	</S>
n	0.494623086012	0.0178398517042	0.0022850960794	0.050372906308	0.434879057703
a	0.467992934	0.3205366576	0.09317760372	0.0309025041051	0.0873903281202
m	0.1807751762	0.486070026	0.3128976	0.00631814429	0.0139390331132
i	0.1515553027	0.27743009854	0.2157130046	0.2827217037	0.07257991505
t	0.07440182056	0.449772066	0.406785906	0.024027627722	0.0450126158734
u	0.19902492846	0.13559157602	0.1750666745	0.44583246744	0.04448430196
s	0.0476608166372	0.4171688488	0.504270144	0.021448219372	0.00945194523186
m	0.021707802356	0.05753511186	0.2197166718	0.6028628256	0.09817759382
ì	0.4185600436	0.07728178166	0.03397948206	0.2698099666	0.200368714474
n	0.0374921067	0.1872665192	0.3750816022	0.22641907638	0.17374070326
o	0.3693872542	0.0610515672	0.145368479	0.3604902903	0.06370239532
m	0.021476125275	0.066546931106	0.4114619576	0.26091232882	0.23960267422
e	0.099797340652	0.1122877274	0.260471339	0.3197663582	0.20767724992
</S>	0.000787679484724	0.0066454839526	0.109240586	0.2975771106	0.585749144
