 	quando	divento	vecchio	vendo	mia	casa	e	vado	a	vivere	al	mare	</S>
m	0.6163141326	0.06552807618	0.008233777386	0.00466870861	0.00630435080406	0.00109770606112	0.00550819156548	0.00248455878964	0.00113423075979	0.00170591578285	0.00539357600698	0.00540704575599	0.276219768554
ò	0.769541270978	0.0167120046809	0.0114796775188	0.00096258311676	0.00039610923544	0.000243868087585	0.0002141233479	3.5257685282e-05	6.8697005396e-05	0.000159463965728	0.000481821937171	0.18361571062	0.0160893987616
t	0.6280049992	0.1595838804	0.0248345607262	0.0008075840097	0.00258578893134	9.01373071719e-05	0.00021483372977	0.00444118947258	0.000772472245369	0.00535461494434	0.0155680084013	0.0345623745821	0.123179610952
t	0.693748816011	0.0745183910368	0.0272392933387	0.000776912044363	0.000246191514202	0.00204443596318	0.000665295848083	0.000153147251476	0.000141495752116	0.00036932612933	0.00114150112688	0.196341386742	0.00261379205022
e	0.34186393786	0.239328375924	0.0107534613668	0.194446702795	0.0228319680381	0.0304368831272	0.00453930292727	0.00668770086116	0.0277941176387	0.035971636598	0.0113921776397	0.0425389734173	0.0314147416799
j	0.15274813386	0.5849867535	0.0718014720566	0.00122443814455	0.00109504726696	0.000279987435406	7.68043152796e-05	3.84559139287e-05	4.50409804139e-05	0.00112181756238	0.0142782920667	0.115868648172	0.0564350828707
è	0.309257578	0.1047480758	0.2427705168	0.17099667868	0.068178977255	0.0338102977727	0.0481153399257	0.00598125690111	0.00815603785007	0.00139195473582	0.00164646707455	0.00335206544444	0.00159476470912
n	0.049428064012	0.5018285892	0.24768040068	0.00479090215452	0.00051752025544	5.3511131826e-05	2.5073434254e-05	0.000699967199636	0.000180535019489	0.00188951318503	0.00990857575352	0.0335233191323	0.149474034757
o	0.06051549132	0.236271197188	0.347326975095	0.0387012706551	0.019039986892	0.0256304859524	0.0266942117117	0.00941127425503	0.0138316598369	0.00547826573431	0.00355548273751	0.197350653317	0.0161930188806
m	0.0584960073061	0.0745199456	0.59280191272	0.118290599837	0.020443324446	0.00289470819232	0.00132392819952	0.00436982988723	0.00340177870267	0.00586971544052	0.0215748582799	0.0751433083259	0.0208700913745
e	0.058081241	0.1716478236	0.3763382044	0.1265793558	0.077483449008	0.028976066224	0.0277557564901	0.0145466976435	0.0149516918586	0.00477217712338	0.0104468497128	0.0751828577678	0.0132378425842
v	0.0107301100861	0.048528818226	0.66486701346	0.0706477439109	0.01390382006	0.0019013473424	0.0012814547722	0.00136645139716	0.000731328887244	0.000866346587331	0.00769799861848	0.162068062465	0.0154095360752
è	0.042681677	0.04282699092	0.5327226778	0.1218435954	0.0851164584	0.05724583306	0.03696999554	0.0176130848272	0.0133639289245	0.00305843920472	0.00544830853123	0.0244470787214	0.016661937421
k	0.000395688530076	0.00848740242	0.58352683736	0.19602659286	0.012833693144	0.002554603884	0.001086036076	0.00476908774542	0.00117461425866	0.00307741242234	0.0180984373253	0.0780481482616	0.0899214079962
k	0.01899151702	0.01131049656	0.31752345568	0.183271613317	0.1816463258	0.01262467164	0.03698151496	0.015763125857	0.0162811840184	0.0144056970299	0.010694075862	0.155117453008	0.0253888739418
i	0.362706982085	0.0367472296914	0.17727556958	0.1546749108	0.12669990268	0.021323155252	0.014172778388	0.011265833726	0.026575872993	0.00694594245293	0.0227328583741	0.0202479200094	0.0186310457767
o	0.0915943412333	0.0244219710428	0.2153196574	0.31785066852	0.150028712	0.0980523909	0.0271943602	0.01796318966	0.0099075430214	0.0102851200612	0.00492646941458	0.0219463854646	0.0105091880618
