 	vado	vestito	</S>
i	0.75762583946	0.0277575806	0.214616581506
p	0.8103005	0.1842494695	0.00545002385574
à	0.394984931	0.4182958384	0.1867192508
o	0.861222194	0.1191042246	0.01967360064
n	0.17143883706	0.684081706	0.144479469716
d	0.29026990636	0.556753174	0.1529769449
i	0.651313562	0.2771664036	0.07152002688
m	0.091977906328	0.414789469	0.49323263
è	0.1013745016	0.870213062	0.02841245266
n	0.06594638344	0.526581256	0.407472356
o	0.28418401888	0.44449823	0.2713177384
</S>	0.0140060576743	0.084035129	0.901958822
