 	i	bambini	non	si	vestono	da	soli	</S>
t	0.357548678418	0.132082437469	0.0254937039	0.07412530859	0.0553334407248	0.0285045828183	0.00818782145566	0.318724068368
a	0.42291796556	0.32157401608	0.146878630495	0.0758903773386	0.0011965744882	0.00773080104161	0.00719526204599	0.0166163543088
p	0.44728845798	0.29963865444	0.06350252356	0.141282446449	0.0347809297759	0.00712291604696	0.000401916035909	0.0059821644935
e	0.251951605065	0.111842490296	0.27440462844	0.183124288596	0.01269655176	0.084717331769	0.0455414667324	0.0357216002986
t	0.215613717935	0.41091324983	0.1868585214	0.1777107108	0.0062293623004	0.00148648212986	9.16016835271e-05	0.00109634957422
ì	0.013584981356	0.33456124392	0.2435882428	0.11807526038	0.077210706564	0.044252701954	0.0454064416888	0.123320430693
a	0.0718304128328	0.29208289082	0.428566454	0.1414035628	0.061973075518	0.003702449624	9.1027113774e-05	0.000350127351877
e	0.0263242197777	0.0856747840736	0.516653538	0.34254849	0.0116944501	0.013723239824	0.00114370171757	0.00223758286483
n	0.0142926570845	0.0518350734966	0.332467432	0.48278635	0.02908575754	0.08191484881	0.0036407346568	0.00397712756706
i	0.0011812893534	0.03820411631	0.11380843153	0.1800521493	0.31054965642	0.0582903945	0.082587880486	0.21532609942
n	0.00615024485534	0.0472781965508	0.234133722	0.428278428	0.2647765993	0.0183004492	0.00040328808	0.000679072982452
d	0.0006997375439	0.111682608606	0.02557838246	0.0552981406	0.426011379	0.0794838374	0.167124161828	0.134121740494
ì	0.05785980694	0.3189411926	0.07935364772	0.05944500214	0.25621995236	0.164810472	0.011945445198	0.051424484382
n	0.0140597127508	0.016097568712	0.18547986556	0.1267743684	0.488978762	0.1327282462	0.01825820486	0.017623267884
n	0.0867258116664	0.0476168777876	0.02876519448	0.0883565212	0.2974510972	0.1377275	0.229395440665	0.083961592594
o	0.219388153628	0.04309307024	0.051978832748	0.0512842144	0.22960075366	0.2314676184	0.039823410572	0.133363925066
t	0.0111395494542	0.0144359462971	0.0674221530605	0.1814231854	0.202836299	0.41907581	0.02908705626	0.07457999126
t	0.0206676508811	0.0123323104	0.009485628271	0.10021996368	0.349598042287	0.2574223826	0.22289568242	0.02737840258
e	0.0084306666188	0.04616170868	0.02531624038	0.06935064554	0.3965961002	0.3666280948	0.034004629396	0.053511920908
m	0.00139751284734	0.00149308495761	0.0113929875445	0.070635967272	0.2023623244	0.549383034	0.0599815282	0.1033535166
a	0.0363985985368	0.010794643724	0.012086249698	0.054532731996	0.213755373127	0.355229558	0.284891699	0.03231116686
n	0.00161165864688	0.000697493988065	0.0154374392987	0.130724697421	0.2260745051	0.399758905	0.1172528356	0.1084424772
e	0.00185071435282	0.00249643046834	0.0081465751226	0.0079412533806	0.250740962777	0.210205925	0.4622372685	0.0563808535
c	0.000320301176735	0.000438993443567	0.00613313650784	0.141353422203	0.18812978642	0.243632696	0.32975018734	0.0902414596
h	0.0621228999697	0.0254835872664	0.00716035294	0.018805855192	0.150666064372	0.1674496012	0.5291297578	0.0391818614
à	0.0118087933656	0.04131689147	0.070518863122	0.05405348086	0.191567791	0.392754438	0.08963539832	0.14834432486
t	0.0016292718949	4.32393264e-05	0.0003239746192	0.0009535594368	0.01500153832	0.11944829554	0.559197618	0.3034025088
u	0.115851441072	0.00451070728546	0.0134981358545	0.0390792875668	0.09015536728	0.385885066	0.27622264	0.0747973472
</S>	0.00108890306281	0.000463609751246	0.00312110876665	0.0103758634268	0.0364209131257	0.1208476218	0.0741697294	0.753512244
