 	Maria	ora	sta	vicino	a	me	ma	sta	dormendo	</S>
e	0.567386918158	0.108292530659	0.0977349643788	0.0096643378658	0.0024445803498	0.0031475798758	0.0012026187452	0.00400319378532	0.0207383453433	0.185384922674
M	0.5981955792	0.2346788136	0.000483465764	0.000355406889123	0.00358443440356	0.00147479715997	0.00525243918566	0.025201563025	0.129090348786	0.00168314934763
a	0.3460104632	0.4196802	0.00935806948	0.002855776962	0.011321758247	0.030044803	0.111767412358	0.0501867297564	0.014740893718	0.004033884224
r	0.2818741274	0.642387122	0.03910326538	0.017153965462	0.00640446870989	0.00258776678743	0.0046108622812	0.00233093290265	0.000784674774743	0.00276279985886
ì	0.1895591424	0.3712489015	0.09730215592	0.0293751305548	0.014964181594	0.0212711789212	0.10416003626	0.0286442495896	0.0027221721616	0.140752860699
a	0.08861268681	0.809271894	0.09606169842	0.00409742408874	0.00107700472442	0.000460852760272	9.8273548458e-05	4.51686160963e-05	8.24420650229e-05	0.000192562766301
à	0.109377459526	0.77697771	0.0540961818	0.00813890130448	0.00815661387904	0.00611019066331	0.00599984605043	0.0133298454276	0.0139205778063	0.0038926709523
r	0.0516593062968	0.687746594	0.1855458289	0.0379617782349	0.0047065470506	0.016843218376	0.00375623400606	0.00810793742515	0.00304429631508	0.000628272507323
t	0.031443631726	0.0804693846	0.4036493	0.1517014668	0.10395997634	0.06182804822	0.044304314384	0.0370991255557	0.0786263380038	0.0069183744234
e	0.0763841934522	0.08652219564	0.5037375204	0.201140542	0.07345589312	0.0246043811	0.0151467469348	0.0136897527284	0.000762711604528	0.00455607271435
n	0.0852870830666	0.12929509164	0.4874380424	0.2196796994	0.04714102248	0.0227772334	0.005989507692	0.0016651966092	0.000481890223092	0.000245201553921
a	0.013854905867	0.04052241541	0.35906549908	0.18598172462	0.0245702504	0.049810939692	0.09561525855	0.130474358232	0.0941866648398	0.00591802111436
s	0.0118845149544	0.09485495478	0.47544766018	0.2516108342	0.0868377484	0.0541213897	0.02014226916	0.003576089483	0.0011876632736	0.000336877821342
t	0.00165330044132	0.0053464626006	0.23326427924	0.32148569282	0.0402027032	0.0447213451	0.032026440508	0.172111937755	0.141026107108	0.0081617169264
e	0.0372302641148	0.019660929308	0.2584067622	0.3927669404	0.0831287844	0.054025336	0.02722889404	0.08564857749	0.00797370349532	0.0339297724122
m	0.00281474409631	0.0156856541778	0.14550643976	0.23551316188	0.236409229	0.2628539708	0.06758466378	0.017489607007	0.00724894141784	0.00889352789305
b	0.009268572608	0.005249407594	0.01733660734	0.345550156356	0.1048591776	0.085584128	0.162414229	0.099872537414	0.163113834877	0.00675130942
r	0.0983364979112	0.08469163374	0.1297944054	0.413773994	0.1206740758	0.076358226	0.02026929776	0.02571727488	0.011241757374	0.019142839093
ò	0.140031138418	0.004368337234	0.163745899354	0.2089024704	0.20025803372	0.1250190292	0.0291351764	0.0618265914	0.054848502494	0.0118648108592
s	0.00215624567298	0.043570052847	0.0380937011177	0.26353379928	0.1880483018	0.1979552122	0.097304229	0.03609243236	0.0338120801306	0.0994339499794
e	0.0102769502426	0.00923172745	0.034515006578	0.16819634184	0.251629604	0.2433862116	0.1669908442	0.046287185888	0.0532849005435	0.01620122592
m	0.00229917919019	0.00524185939718	0.021688851381	0.12746956974	0.1106542306	0.3651549	0.259491124	0.056539178	0.042155784316	0.0093053498046
è	0.000796616706028	0.001232968686	0.003073207815	0.089262695412	0.12154084936	0.251137066	0.2389313636	0.0793452116	0.1613814817	0.05329855776
n	0.00182409510758	0.008381614248	0.0137291319496	0.204785252868	0.10273663088	0.3121271206	0.12936519164	0.0644125646	0.09950890254	0.063129472792
a	0.0154753180932	0.0018248878014	0.00963842537058	0.0537816055356	0.19191892606	0.2123913514	0.2427321028	0.1242427996	0.13680385323	0.0111907626
m	0.000948035008824	0.00153726947724	0.0082741225316	0.120992058279	0.04058418912	0.18355299	0.3293613652	0.1696686628	0.10717004816	0.037911203368
a	0.000465636435881	0.0009180669406	0.00303031238751	0.0241959404	0.06083598352	0.1530727768	0.2841393826	0.1456848348	0.2196898646	0.10796722144
s	0.000873975731935	0.00111810892848	0.00823589907397	0.104153430282	0.04407867804	0.2352043068	0.198086217	0.221055144	0.1304593005	0.05673492654
t	0.00534056219497	0.001682859308	0.0283577387294	0.0307516128408	0.08449807166	0.1425582526	0.1272041412	0.2143547752	0.3563780544	0.00887389956
e	0.00850898149605	0.005630786794	0.0075374218012	0.049253942048	0.0651049184	0.218119523	0.1699036308	0.32236749	0.11225789	0.041315382368
p	0.000332648147425	0.000584137123188	0.00308770632455	0.0225233486594	0.008428137316	0.07880991226	0.192269534	0.2492810628	0.2691527228	0.1755307918
l	0.00849137954292	0.000296542718	0.00508157878271	0.0015569880469	0.014635524796	0.0564251386	0.127711242	0.2823593644	0.48866292	0.01477927754
ò	0.0371571131158	0.0415892138	0.0187409634	0.0462772858	0.03747222032	0.097678002	0.0873382972	0.2426642324	0.340709063	0.05037363254
n	0.00216894843418	0.001411186138	0.00072246995412	0.0152278154578	0.004410033638	0.02979170764	0.05414934062	0.16065256566	0.382940606	0.348525336
n	0.00855285003654	0.0022044377516	0.00360136400266	0.0088098785336	0.022061035884	0.054976891	0.073471668	0.2639330588	0.496386478	0.066002322
i	0.147154542151	0.0029389483212	0.00231733245097	0.00732564166002	0.0078713226992	0.030377662026	0.03246911786	0.1741490528	0.44602714	0.14936924
</S>	0.000647442177303	0.000921451501869	0.00094463568462	0.0059097702358	0.0035080923056	0.022734906036	0.04763148248	0.05910146892	0.2144502074	0.644150536
