 	un	forno	che	fa	buon	pane	</S>
è	0.703135474484	0.0157724484447	0.003416645052	0.0109647387768	0.0433236352759	0.00646467216719	0.216922438072
n	0.5104248764	0.183092954316	0.134560239076	0.150220314267	0.000444969249526	0.0178961703388	0.0033604979645
a	0.45300014028	0.148685263466	0.22061569094	0.049969517832	0.119782104335	0.00459803519334	0.00334924130463
f	0.212087562	0.482951033	0.18049766134	0.119478963509	0.00249377391341	0.00127283519173	0.00121809117963
ù	0.1278178764	0.4213013262	0.1323856162	0.11107458656	0.100757152663	0.0815909485976	0.025072496115
r	0.0866502196	0.49802727556	0.1855149828	0.18123528194	0.00757260228386	0.00443361846111	0.0365660536845
n	0.06435849852	0.2564133815	0.2751229428	0.07601927274	0.084451873301	0.0695988412108	0.174035204793
o	0.3613132573	0.3489754528	0.1940950286	0.03116750404	0.0098641939324	0.0043616389446	0.0502229433859
k	0.11416895322	0.01968946524	0.574629666	0.25745066774	0.02773562377	0.000977159163372	0.0053484963733
a	0.031976708044	0.07307623076	0.340331182	0.1983779472	0.2067433607	0.13615844778	0.01333606496
i	0.031185834075	0.04744665568	0.503556604	0.3530729876	0.057110257614	0.003056495384	0.0045711313022
k	0.00130576598735	0.0124453298722	0.339028628	0.52436541	0.05454643492	0.051740313156	0.0165681193966
à	0.017779848344	0.02697150854	0.0795285826	0.276790572	0.305655728	0.252688198	0.0405855956
n	0.0096139625322	0.0265646476	0.0971252412	0.529393148	0.28840547	0.0331434582	0.01575409004
n	0.0189771274853	0.034373814	0.11709723388	0.239257398	0.388123472	0.1666865504	0.03548442158
i	0.289846129889	0.0608228068163	0.0371828031	0.1642968034	0.2515974326	0.12998484634	0.06626919918
t	0.0232839164049	0.0247138631532	0.14853050124	0.1874865428	0.190880149	0.2197156598	0.205389372
s	0.00726574819854	0.00233431464232	0.04211880184	0.17303683882	0.610064858	0.1532518248	0.01192761266
o	0.050226663814	0.01908050886	0.1003401182	0.2215755178	0.21158908	0.3242968308	0.0728912538
m	0.00255993891519	0.00372089018621	0.038361533156	0.074588056	0.1716312034	0.3767855444	0.332352852
ì	0.00394138859	0.001070293634	0.01685060158	0.0476985906	0.424710744	0.417056592	0.0886717786
k	0.00316955879328	0.00189505551508	0.0167622453062	0.02727674094	0.37273464532	0.2038317058	0.3743300568
a	0.0443246867857	0.007282514414	0.01211633532	0.0535784712	0.515573626	0.339507122	0.0276172876
l	0.00535164258303	0.00488835047441	0.0319649325198	0.0481380289748	0.0910393328	0.3375209028	0.48109682
ò	0.001656756936	0.0009330252428	0.005451167952	0.0123063142	0.349114902	0.589886634	0.0406512004
</S>	0.00160316308618	0.000928352268911	0.0012211715694	0.00760015492	0.1205397685	0.290739684	0.577367728
