 	viene	fabbricato	</S>
è	0.675182117088	0.1208605868	0.20395730724
r	0.589771404198	0.39979074008	0.0104378557094
k	0.085919796	0.85676694	0.05731327008
e	0.6275259256	0.261413752052	0.111060278501
t	0.32795276664	0.6165314976	0.05551572434
e	0.4143652351	0.545468296	0.04016650636
f	0.2023693732	0.732143816	0.065486788
a	0.3307553871	0.5748003512	0.09444422908
b	0.0593294546	0.653643054	0.287027522
b	0.15292201362	0.81017056	0.03690746399
r	0.64767104492	0.2581838874	0.0941450561432
i	0.42220402426	0.4817125466	0.0960834407
k	0.201650133058	0.3328757868	0.465474076
à	0.09584108167	0.761121064	0.1430378386
t	0.013895262756	0.641212322	0.3448924232
o	0.3257007032	0.417981552	0.2563177314
</S>	0.0120898661598	0.05165980414	0.936250346
