 	Anna	ora	sta	vicino	a	me	dormendo	</S>
i	0.775854882554	0.0101048089754	0.0028440756964	0.0020183961884	0.00023863044218	0.00323500256775	0.0134721182573	0.192232110688
A	0.714874489152	0.0804401823	0.0003487659286	0.000789700931496	0.000522667615604	0.0166473061855	0.182151868625	0.00422500336556
n	0.5902867718	0.382692156	0.0143614188445	0.000167388597898	0.000634683462659	0.000459482256791	0.0107091516014	0.00068893963966
n	0.567937664037	0.0400140328	0.0083057471	0.000776160149568	0.0570371624217	0.085467670931	0.235528612026	0.00493300543608
a	0.3828196083	0.349474174368	0.159786906766	0.0553530577621	0.00931955509528	0.0231025891064	0.00163674984234	0.0185073142234
à	0.14066974	0.760369702	0.09621833808	0.00162820453984	0.000694474119666	7.90637666648e-05	3.19032690655e-05	0.00030855305381
r	0.173008243312	0.70323934	0.1094642772	0.0092026913394	0.00104691683641	0.00335222497958	0.00048496577644	0.000201344492606
t	0.12846375228	0.164568507	0.3438833	0.036455322	0.0904711759086	0.0524243731291	0.16706745547	0.0166661411033
e	0.18108047648	0.156192617244	0.3590914306	0.13341045634	0.068136925054	0.0772690000302	0.00243237778581	0.0223867008133
n	0.017963797943	0.250734612	0.621070006	0.0950208914	0.011399642266	0.0015435748162	0.000534582558211	0.00173290319653
a	0.0095210329572	0.206622053788	0.3729933009	0.01959869246	0.05673064568	0.222862881868	0.102673359406	0.00899805763516
s	0.0116812327405	0.171401034	0.5774766668	0.20640620222	0.02646983636	0.005073313454	0.000630935564346	0.000860789129576
t	0.0095092024412	0.0426090365	0.3713632972	0.1731641592	0.0255005995	0.19993512509	0.163533783059	0.0143848054508
è	0.068687666231	0.040464920968	0.4664880252	0.2061147214	0.0650056376	0.0949723943	0.0068864676394	0.0513801283769
i	0.00262051900177	0.1350872483	0.400279948	0.3141488496	0.11151973714	0.01823064866	0.006059106924	0.0120539583164
i	0.00972801612479	0.0999521230998	0.1691525328	0.239674302252	0.265719486	0.11703419768	0.045275364766	0.0534639385466
t	0.00393978434965	0.0773631009328	0.10657263954	0.21308682316	0.3140535704	0.1993817411	0.07897341906	0.00662887029548
t	0.025371379539	0.00922825194	0.10020612238	0.3109738913	0.15062006734	0.1062786182	0.1970969577	0.10022472869
u	0.0105983223905	0.036406581656	0.1240169449	0.4175808502	0.137743292	0.1112461752	0.06409838728	0.0983094015078
m	0.00984295072769	0.0194623898338	0.078987830818	0.18688584204	0.3414235376	0.298908527	0.0506484906	0.0138403927
b	0.0067381028984	0.012990933188	0.009772701022	0.239997599448	0.1115626522	0.384900508	0.2102848122	0.02375269004
r	0.0403710767838	0.06749066634	0.0783520408	0.363831152	0.169185019	0.1057483168	0.1349975622	0.040024181016
ò	0.0259477496334	0.002084188714	0.050810938188	0.1741101881	0.194502388	0.2036851614	0.3081564564	0.04070293539
s	0.00149092239012	0.013670502094	0.0113182800684	0.163664165256	0.1370056942	0.2858046624	0.1894290038	0.1976167582
e	0.0142185574925	0.021139198084	0.0311791448102	0.13241420314	0.3408915426	0.326782757	0.0918964518	0.04147814282
m	0.00106014199525	0.0122452319336	0.02139469713	0.135957186576	0.0974383795	0.3142392292	0.3253181601	0.09234698
è	0.000671382755083	0.001080777786	0.00158464982232	0.044673001682	0.10041935514	0.394891696	0.368767226	0.08791191986
n	0.00246394607165	0.004419681052	0.0104278353993	0.17363274169	0.0489373464	0.2242146024	0.3917276024	0.144176224
a	0.0576694979733	0.0015944332728	0.0094127053203	0.036618959512	0.1943871074	0.275590156	0.3811849232	0.0435422382
s	0.00222840883653	0.00897689943258	0.0176794223414	0.114857062031	0.052265780494	0.1581441124	0.3154434882	0.330404838
t	0.00111863710155	0.001160369352	0.0115356445157	0.014606971022	0.09040272768	0.267788777	0.56860139	0.0447855009
e	0.0149879051657	0.006450717446	0.007058697489	0.07707568267	0.18025540582	0.2159633516	0.373542746	0.124665508
p	0.00243268126494	0.00248799276991	0.0067180773807	0.0247195514555	0.0306188224752	0.1244421226	0.323560806	0.485019956
l	0.000391404019964	0.000619795326	0.00599573545958	0.0021931262068	0.03811085016	0.2276956214	0.707096424	0.0178970259
ò	0.0669120109164	0.056135775073	0.02070607575	0.05682586114	0.0590823796	0.1649020556	0.515354653	0.0600811964
n	0.00202474813714	0.003863719974	0.00145963738132	0.011167869212	0.0106240103448	0.0680377456	0.414210264	0.48861201
n	0.00826741437868	0.00166246288	0.00361232396256	0.006568033568	0.05966630466	0.1465016528	0.653759026	0.1199627668
i	0.126161225504	0.0025468788304	0.00177182796546	0.0107733309537	0.018411954336	0.07843108972	0.45956052	0.3023431426
</S>	0.000700224572354	0.00153856790675	0.00211438607783	0.00705241652486	0.0184505182486	0.03099661686	0.145727393	0.793419864
