 	dei	genitori	</S>
à	0.662304506836	0.0602710639	0.277424426652
t	0.99553037	0.003123097032	0.00134655433394
t	0.633109878	0.29690798304	0.069982169414
u	0.7908390128	0.198750888782	0.0104101175812
s	0.7817774886	0.20161917874	0.016603339244
g	0.244235957	0.4474785636	0.308285474992
e	0.64870395554	0.30823963192	0.04305644378
n	0.3436169978	0.268086874	0.38829613226
i	0.20814925258	0.649576438	0.14227433374
t	0.281882837989	0.3704826908	0.347634508
ò	0.0542832088794	0.8332193	0.1124975122
r	0.169477012424	0.598393632	0.2321293326
u	0.3018568872	0.533873028	0.1642700842
</S>	0.0495682639534	0.1532756916	0.797156056
