 	l	ho	sentito	che	viene	</S>
o	0.61635518609	0.0198425572523	0.006765017033	0.001898761851	0.0065079692664	0.348630474349
n	0.28776725227	0.2871021253	0.308904015268	0.110882271	0.0021121824226	0.00323217715727
ì	0.179733086686	0.20389362356	0.18892470088	0.268674934456	0.103480680669	0.055293007729
k	0.01177726927	0.44932421666	0.46421241754	0.0728061432	0.0008912885576	0.00098870014194
u	0.09382311478	0.274055013	0.1742549116	0.30272550516	0.08187575174	0.0732657320454
s	0.1503145838	0.630738024	0.10265067572	0.0887595158	0.00931483675006	0.0182223365141
a	0.02794973053	0.171339232	0.280862842	0.422957342	0.08725310056	0.009637786752
n	0.00398355061614	0.16426473196	0.211582027578	0.555115134	0.038335790452	0.0267187848436
a	0.007957455295	0.0299325824	0.1211537984	0.367733758	0.36375731	0.1094650924
r	0.0545795647082	0.0608799067368	0.0464022993406	0.451084044	0.3267715384	0.0602826478
t	0.05778270465	0.01819481584	0.02255975294	0.09231216484	0.717491888	0.09165870432
i	0.061156709964	0.01441132438	0.154960756	0.1959553996	0.3625133584	0.211002457932
</S>	0.00698269787045	0.0133356270679	0.00245777298392	0.0452757201	0.182867312	0.749080862
