 	non	mi	aspetti	non	vengo	</S>
m	0.232197505529	0.352053117248	0.0023466196228	0.007392478982	0.022390270304	0.383620030728
ì	0.1936480483	0.27156109596	0.297433482248	0.2167169191	0.0160003789124	0.0046400330422
m	0.0788235991934	0.580566884	0.3120358468	0.02729074922	0.0002400598408	0.00104282700458
e	0.0514315439749	0.339028592764	0.324000625614	0.1108105326	0.165893124304	0.008835576666
m	0.0333891316326	0.5491971428	0.3461472258	0.0626893612	0.001921288047	0.00665583845026
ì	0.0923791047747	0.158251531206	0.41309877789	0.07004554537	0.254565567682	0.01165949609
n	0.0263434182498	0.0727734432	0.47859905272	0.33521615	0.046182318554	0.04088566988
i	0.130112311755	0.134784389378	0.307679600779	0.218530443	0.1723794826	0.0365137987
e	0.0249619924936	0.010482021992	0.13870817772	0.770078836	0.0297466956	0.026022294908
n	0.00286369602491	0.028145588182	0.168297540496	0.610293465	0.1777960428	0.012603641182
è	0.0013787915774	0.008674953788	0.08561579276	0.2275386552	0.41070496	0.266086865634
r	0.00435455842268	0.0503202697419	0.2369753818	0.323073468	0.3212698632	0.0640064157
k	0.00545106557112	0.0369277615	0.155101308192	0.156683075	0.577386078	0.0684507102
o	0.0369222298412	0.008995243398	0.0935575221168	0.2130099666	0.354757176	0.292757874128
m	0.0504281122429	0.0324298386273	0.0171814665069	0.10396656626	0.2818593708	0.514134676
e	0.0098109723707	0.012445825312	0.13013226944	0.1487327662	0.601436432	0.09744170286
</S>	0.00823303310344	0.00566116065255	0.00545944837008	0.036391191192	0.1541845304	0.790070654
