 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.330074957744	0.187328154158	0.020076993908	0.0005547815066	0.000523968828	0.03465245663	0.0639885196794	0.0620340228808	0.0078959840564	0.0143959483422	0.0205816467993	0.257892552434
a	0.4350640904	0.295745505	0.128323671014	0.103510343418	0.00560257423556	0.00151560334953	0.00438211796531	0.0119589224484	0.00282998079076	0.0010820873956	0.00132047842014	0.0086646340292
p	0.40911596272	0.25462684918	0.069429986464	0.166590141314	0.0866491670072	0.00196778691657	0.000280545627107	0.000570105782941	6.50744702498e-05	0.000238298469556	0.000214130424923	0.0102519776067
e	0.246174832402	0.064715388283	0.25643341944	0.161864804615	0.058749597906	0.0327256196036	0.019548818564	0.0975597149482	0.004758149092	0.00270440207542	0.0463335511985	0.0084317077052
d	0.217104607294	0.315717030194	0.2689134546	0.170599873194	0.024148694538	0.00046708536614	0.0014264569532	0.000932016583584	0.000155604251381	7.44968279694e-05	6.22081030243e-05	0.000398498119788
ì	0.139861250147	0.31313705216	0.2054360412	0.108557559714	0.03245254178	0.015417114388	0.0458387715	0.075732431357	0.0199523481036	0.0140763105274	0.00915558799068	0.0203829343522
a	0.10637101006	0.13490923822	0.445862252	0.1687649542	0.0954009582	0.010166878316	0.0139263253932	0.0232028083861	0.0009240416633	0.000169423644684	2.40811732823e-05	0.000278035711712
e	0.0211493613313	0.0503157077658	0.526873814	0.2375428724	0.03427092954	0.0254287018738	0.0479544316244	0.0467638832949	0.00540445721165	0.00217761318648	0.00133801037656	0.000780190649917
s	0.00889698380775	0.0539952652582	0.2749016226	0.487404956	0.0659984471	0.043039912336	0.03629128907	0.021403415277	0.00406423288735	0.00221270432981	0.00106783998935	0.000723360547593
ò	0.0007217477964	0.027126721484	0.1268223642	0.3872676666	0.069199195	0.08612028742	0.083116509212	0.086395927755	0.021422686353	0.0104289449486	0.0146591344151	0.0867188070918
z	0.0038693697258	0.0615843221124	0.1533563632	0.487501944	0.2607474646	0.00882418936	0.014334899366	0.00772552599614	0.00135075744293	0.000493222280714	8.61210354564e-05	0.000125822648772
u	0.169441518394	0.109907212246	0.0439252684	0.2733842914	0.044487662	0.028040636934	0.080254619552	0.0903534273851	0.023450626144	0.0113712562163	0.027511557295	0.097871927053
n	0.00931584043408	0.0140930685226	0.16191401322	0.3007256874	0.400505712	0.09035186506	0.00591606654	0.012540091126	0.0024674833412	0.0014298756879	0.00054491310645	0.000195429792781
e	0.0039111727278	0.0217394683178	0.013218934334	0.264855722	0.24440775	0.05847439506	0.05884369886	0.127809447092	0.062197203148	0.0420625844278	0.0453984047988	0.0570811684159
f	0.00387160213632	0.00676334970825	0.095292335241	0.183117454	0.457268624	0.19903790828	0.02047384364	0.014519256882	0.010319684244	0.0073687953068	0.00170352151984	0.000263631677721
à	0.0067920495348	0.01232515152	0.01507332241	0.0540294234	0.3532133044	0.04483436126	0.0783292506	0.1774415812	0.056566701494	0.05315670306	0.074668118514	0.0735700148084
