 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.429894090234	0.0066568728224	0.0072462207694	0.009213951462	0.113354486596	0.0610398139206	0.224824599005	0.147769985925
n	0.524732193102	0.2595174086	0.02407299	0.16819262904	0.0039489565048	0.00141239234582	0.0150193966269	0.00310405300902
è	0.15942881371	0.28242526188	0.31739439438	0.07897042994	0.0587538335532	0.00944133399586	0.0123717147921	0.0812141676013
r	0.144762363365	0.59872919302	0.217544987	0.03307358154	0.005462638513	0.000144066898889	8.1005493366e-06	0.000275077285046
t	0.035989692616	0.26669935394	0.4551411236	0.092159143	0.0478875599396	0.0665144476998	0.00890790729051	0.0267007652859
i	0.112119842842	0.4109904936	0.368033117	0.08907186312	0.001806540142	0.00121631615264	6.34812197043e-05	0.0166983319096
s	0.0630723591102	0.1330572302	0.42262508	0.3102114998	0.0588768700531	0.0108521788012	1.63236912608e-05	0.0012884563885
t	0.0081198123346	0.090237970582	0.468950138	0.223628088	0.01459570322	0.0798298305404	0.062653075782	0.0519854109722
e	0.054052806801	0.216630566	0.289882868	0.3817114064	0.003297711899	0.0065905793772	0.00121591432907	0.0466181380044
s	0.0287904742292	0.1242936281	0.3463882844	0.43272142	0.0417958393904	0.0108463264618	0.00044641385575	0.0147175871152
e	0.0077856302192	0.019246751834	0.3450757932	0.243558405	0.03256578312	0.10198715564	0.0857785427023	0.164001929458
t	0.0156141987108	0.0157856306846	0.328824171	0.5141641824	0.0721681768	0.04826798746	0.00145646425368	0.0037191881947
t	0.00068133160974	0.008195563064	0.28841731912	0.27678621734	0.06559167948	0.11134991016	0.0644123019121	0.18456564573
à	0.024622710666	0.02853160184	0.2240168408	0.47004325952	0.00780126377	0.0574464196	0.015935205168	0.171602727902
e	0.0573971693786	0.0376895685762	0.1390330544	0.234552608	0.3056936368	0.1605560212	0.02382280364	0.04125514692
v	3.9752438118e-06	0.00163840206838	0.0053140803748	0.0284496882	0.70755126056	0.03739534194	0.19444330244	0.0252039494816
ò	0.11475451267	0.0046268235476	0.037890315894	0.09038785534	0.3602876603	0.2697382726	0.0412431039	0.08107146016
s	0.00239149695574	0.0145780801878	0.039099947128	0.1032561375	0.128434502	0.590173696	0.1031822523	0.01888393106
t	0.0426229650517	0.005451370106	0.17032464228	0.157860357	0.1792416176	0.2810177852	0.085735770655	0.0777454972
e	0.0381825423706	0.0175556497016	0.017112679052	0.07462808376	0.01645142014	0.4742808434	0.1267404634	0.2350483061
m	0.00933008270819	0.0879930620325	0.020544348234	0.024207297988	0.03007333086	0.192183528	0.309356158	0.326312184
a	0.00215622944068	0.00382228081354	0.0169487673527	0.028150979248	0.04045933648	0.32656485626	0.552440372	0.0294571682
r	0.0181611073377	0.0968075435775	0.0282390594826	0.0087930026184	0.007161070392	0.150102084	0.51230341394	0.1784327114
è	0.0004535717484	0.0025213473828	0.01276634666	0.016788334723	0.055148047228	0.315348838812	0.52580429	0.0711692034
o	0.00326135339863	0.0306204105525	0.0068888247988	0.0023510919026	0.006904984526	0.1591317982	0.6972928064	0.0935487884
</S>	0.00103842829234	0.000633698242003	0.0058065284009	0.0033812279254	0.0534733273372	0.0162601943	0.463265342	0.456141276
