 	l	ho	sentito	quando	veniva	</S>
t	0.597060827923	0.0115266270505	0.007044386902	0.023950686059	0.0172879585522	0.343129498637
o	0.543421930832	0.087481882712	0.22298046939	0.0387622367411	0.0993212081735	0.00803229424068
n	0.24078945464	0.3352994056	0.37702205022	0.01563242094	0.00276540897426	0.0284912296165
ì	0.130870929288	0.246552199808	0.38239548572	0.112508792748	0.126382221461	0.001290405938
k	0.0038591707836	0.59268587026	0.391104393772	0.01005033305	0.00218581545705	0.0001144871625
u	0.230074637926	0.159004136	0.321214061	0.08671801742	0.132830075769	0.0701590577876
s	0.1644972552	0.529171226	0.13968043994	0.13303650348	0.0205678532924	0.0130466908929
a	0.03351793694	0.1790008	0.526391934	0.195375964	0.0568956630607	0.0088177217684
m	0.00673653455114	0.23018124604	0.31844100496	0.298667282	0.11290902854	0.0330649595946
ò	0.01662315964	0.06971897618	0.2117655048	0.4193981626	0.2590701762	0.02342401778
t	0.002748095998	0.0624905058	0.075706575988	0.49639122	0.267667853	0.09499577
t	0.045249127666	0.10438939748	0.1488849725	0.3624464888	0.29776426422	0.04126576048
e	0.0209875648976	0.031633088346	0.37037041416	0.145036456855	0.119187649318	0.312784826994
è	0.00307897049226	0.0112260844205	0.0109548159843	0.25059890074	0.438914896	0.285226345
r	0.000106127269284	0.0026050371063	0.0019303003686	0.1701367958	0.62205683754	0.20316486716
k	0.017924305326	0.019785216572	0.07281798356	0.2565143374	0.4871291104	0.145829082
a	0.037669172568	0.012593784544	0.26780136951	0.148451469286	0.20032149016	0.333162715694
t	0.00365944084481	0.00358711393356	0.00142054217234	0.07082116663	0.44508004	0.475431736
o	0.019724013901	0.0184568338464	0.0397426376446	0.06626353596	0.596768945726	0.2590440678
</S>	0.000241322599136	0.00225245689893	0.000494596562511	0.0816100871844	0.1361601038	0.779241424
