 	non	ha	da	mangiare	</S>
e	0.613908755087	0.058751253968	0.003921584296	0.01422530827	0.309193152816
n	0.67180305292	0.132325872	0.17883506792	0.01599830533	0.00103764697656
è	0.057946726694	0.310356057	0.2044105702	0.28953434214	0.137752324054
c	0.07251395614	0.80265364	0.0706380848	0.053705874648	0.000488441442
h	0.029584582242	0.41017803518	0.2116889846	0.3361708898	0.012377532253
i	0.1463666535	0.585186016	0.1083593246	0.03228971276	0.127798294096
n	0.0526846718397	0.330974512	0.53622596	0.0519213622	0.028193480438
a	0.00810171603516	0.08885488592	0.5235732898	0.3641119938	0.01535807414
f	0.00578846819748	0.087605638672	0.396051743	0.43958979	0.07096433428
à	0.002278195914	0.02491214988	0.1716097894	0.6917943	0.1094055644
i	0.0025068126522	0.0101017858442	0.03759177204	0.891954458	0.0578452082
</S>	0.00182904788809	0.00336788342845	0.01836593887	0.535723686	0.440713448
